# hist edge err
2.608421957785245468e+03 7.139347751502865338e-06 1.844432854545837245e+03
2.496589589913559735e+02 1.118872211587422201e-04 1.441406671792611291e+02
2.808433841300500831e+02 1.657723885589317860e-04 1.255969795891755183e+02
7.582151914269577730e+01 2.456087882417329229e-04 5.361391034566580061e+01
1.791137054928274495e+02 3.638945990099393298e-04 6.769861730532645083e+01
3.454053554696506723e+01 5.391471540435070287e-04 2.442384691107399419e+01
3.496943525951683540e+01 7.988017808015708847e-04 2.018961286049123771e+01
2.360244049501003261e+01 1.183506729519468890e-03 1.362687537332616650e+01
5.841126805975254399e+01 1.753486550082959282e-03 1.761165997118816762e+01
2.508824499480691728e+01 2.597970087225649673e-03 9.482465298188579084e+00
3.144733788993705303e+01 3.849159021949681223e-03 8.721922249154584250e+00
1.959250983517674527e+01 5.702923697662180130e-03 5.655870413719842560e+00
1.542784104988598237e+01 8.449466108283339855e-03 4.123263959020008862e+00
1.933832081552260362e+01 1.251875025862529169e-02 3.792556738402588223e+00
7.530173183895538358e+00 1.854781190070614594e-02 1.944282355685673203e+00
8.131922665426348118e+00 2.748048480853345493e-02 1.659921763172323539e+00
5.031216101909230076e+00 4.071515547789694017e-02 1.072658877066929639e+00
2.006605211302380454e+00 6.032367686157238951e-02 5.565321522279988997e-01
1.458528473472540998e+00 8.937571151054239660e-02 3.898081311849038166e-01
6.328454737880281344e-01 1.324192791886045217e-01 2.109484912626760356e-01
1.898381324753964650e-01 1.961927374280119651e-01 9.491906623769823248e-02
6.406513562747614965e-02 2.906796537132130820e-01 4.530089183982426160e-02
1.297213014934873732e-01 4.306717067640523089e-01 5.295849957146358394e-02
