# hist edge_left edge_right err
0.000000000000000000e+00 9.999999999999999547e-07 1.479833198237530211e-06 0.000000000000000000e+00
0.000000000000000000e+00 1.479833198237530211e-06 2.189906294605912899e-06 0.000000000000000000e+00
0.000000000000000000e+00 2.189906294605912899e-06 3.240696035787167059e-06 0.000000000000000000e+00
0.000000000000000000e+00 3.240696035787167059e-06 4.795689579154609016e-06 0.000000000000000000e+00
0.000000000000000000e+00 4.795689579154609016e-06 7.096820647674759583e-06 0.000000000000000000e+00
0.000000000000000000e+00 7.096820647674759583e-06 1.050211079636665810e-05 0.000000000000000000e+00
0.000000000000000000e+00 1.050211079636665810e-05 1.554137220803216942e-05 0.000000000000000000e+00
0.000000000000000000e+00 1.554137220803216942e-05 2.299863853961210799e-05 0.000000000000000000e+00
0.000000000000000000e+00 2.299863853961210799e-05 3.403414882518303910e-05 0.000000000000000000e+00
0.000000000000000000e+00 3.403414882518303910e-05 5.036486330526269344e-05 0.000000000000000000e+00
0.000000000000000000e+00 5.036486330526269344e-05 7.453159674382291654e-05 0.000000000000000000e+00
0.000000000000000000e+00 7.453159674382291654e-05 1.102943311791612549e-04 0.000000000000000000e+00
0.000000000000000000e+00 1.102943311791612549e-04 1.632172128563275407e-04 0.000000000000000000e+00
0.000000000000000000e+00 1.632172128563275407e-04 2.415342501085946509e-04 0.000000000000000000e+00
0.000000000000000000e+00 2.415342501085946509e-04 3.574304018221051557e-04 0.000000000000000000e+00
0.000000000000000000e+00 3.574304018221051557e-04 5.289373746757308108e-04 0.000000000000000000e+00
0.000000000000000000e+00 5.289373746757308108e-04 7.827390868337488110e-04 0.000000000000000000e+00
0.000000000000000000e+00 7.827390868337488110e-04 1.158323286254710422e-03 0.000000000000000000e+00
0.000000000000000000e+00 1.158323286254710422e-03 1.714125253291312340e-03 0.000000000000000000e+00
0.000000000000000000e+00 1.714125253291312340e-03 2.536619455757799495e-03 0.000000000000000000e+00
0.000000000000000000e+00 2.536619455757799495e-03 3.753773681925603404e-03 0.000000000000000000e+00
0.000000000000000000e+00 3.753773681925603404e-03 5.554958913183835438e-03 0.000000000000000000e+00
0.000000000000000000e+00 5.554958913183835438e-03 8.220412614574901244e-03 0.000000000000000000e+00
0.000000000000000000e+00 8.220412614574901244e-03 1.216483949025850067e-02 0.000000000000000000e+00
0.000000000000000000e+00 1.216483949025850067e-02 1.800193332891544470e-02 0.000000000000000000e+00
0.000000000000000000e+00 1.800193332891544470e-02 2.663985857258772960e-02 0.000000000000000000e+00
3.000000000000000000e+00 2.663985857258772960e-02 3.942254711206790579e-02 3.000000000000000000e+00
6.000000000000000000e+00 3.942254711206790579e-02 5.833879397552115681e-02 6.000000000000000000e+00
3.000000000000000000e+00 5.833879397552115681e-02 8.633168407011583556e-02 3.000000000000000000e+00
7.000000000000000000e+00 8.633168407011583556e-02 1.277564921467115588e-01 7.000000000000000000e+00
3.000000000000000000e+00 1.277564921467115588e-01 1.890582983690756724e-01 3.000000000000000000e+00
2.000000000000000000e+00 1.890582983690756724e-01 2.797747463288545178e-01 2.000000000000000000e+00
0.000000000000000000e+00 2.797747463288545178e-01 4.140199576459224762e-01 0.000000000000000000e+00
0.000000000000000000e+00 4.140199576459224762e-01 6.126804780573309461e-01 0.000000000000000000e+00
1.000000000000000000e+00 6.126804780573309461e-01 9.066649113412790228e-01 1.000000000000000000e+00
0.000000000000000000e+00 9.066649113412790228e-01 1.341712835479911714e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.341712835479911714e+00 1.985511196444582849e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.985511196444582849e+00 2.938225383971006188e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.938225383971006188e+00 4.348083467104508770e+00 0.000000000000000000e+00
1.000000000000000000e+00 4.348083467104508770e+00 6.434438263328994267e+00 1.000000000000000000e+00
0.000000000000000000e+00 6.434438263328994267e+00 9.521895354084065843e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.521895354084065843e+00 1.409081685511730342e+01 0.000000000000000000e+00
0.000000000000000000e+00 1.409081685511730342e+01 2.085205857248753603e+01 0.000000000000000000e+00
0.000000000000000000e+00 2.085205857248753603e+01 3.085756852716053800e+01 0.000000000000000000e+00
0.000000000000000000e+00 3.085756852716053800e+01 4.566405432338163450e+01 0.000000000000000000e+00
0.000000000000000000e+00 4.566405432338163450e+01 6.757518355386216058e+01 0.000000000000000000e+00
0.000000000000000000e+00 6.757518355386216058e+01 1.000000000000000000e+02 0.000000000000000000e+00
