# w mse
3.000000000000000000e+00 3.523151583424443279e-03
5.000000000000000000e+00 1.226868204823191623e-02
9.000000000000000000e+00 4.046059745885392800e-02
1.700000000000000000e+01 1.122604317615614744e-01
3.300000000000000000e+01 2.702984891852648341e-01
6.500000000000000000e+01 6.123441014016851591e-01
1.290000000000000000e+02 1.353862397491387259e+00
2.570000000000000000e+02 2.913214262637595642e+00
5.130000000000000000e+02 6.109808130395589565e+00
1.025000000000000000e+03 1.254427151487008096e+01
2.049000000000000000e+03 2.267558427511767505e+01
4.097000000000000000e+03 2.851087325846429721e+01
