# w mse
3.000000000000000000e+00 5.106364387415759151e-04
5.000000000000000000e+00 1.313595236225294617e-03
9.000000000000000000e+00 2.648226286597905182e-03
1.700000000000000000e+01 4.722006490702521098e-03
3.300000000000000000e+01 1.104933710442678949e-02
6.500000000000000000e+01 3.292656406422473508e-02
1.290000000000000000e+02 1.096597924894625875e-01
2.570000000000000000e+02 3.893877485707744612e-01
5.130000000000000000e+02 1.324690812055610234e+00
1.025000000000000000e+03 3.734473658754229763e+00
2.049000000000000000e+03 6.152274907995480824e+00
4.097000000000000000e+03 7.308834958526180259e+00
8.193000000000000000e+03 1.335847662924279255e+01
