# rg size
7.105880149635017240e+00 2.820000000000000000e+02
6.861309191994102719e+00 5.330000000000000000e+02
5.549716327112360403e+00 1.380000000000000000e+02
6.861627087125514279e+00 5.330000000000000000e+02
7.105318496942227391e+00 2.820000000000000000e+02
3.742526658288160224e+00 1.300000000000000000e+01
6.898883217859795858e-01 2.000000000000000000e+00
4.809168415100964822e+00 1.020000000000000000e+02
6.911785525726449997e+00 1.340000000000000000e+02
6.974371179810717081e+00 5.250000000000000000e+02
6.892937648487189151e+00 1.340000000000000000e+02
3.606931681276104307e+00 5.000000000000000000e+01
3.237380885856183887e+00 1.000000000000000000e+01
7.105523835686775591e+00 2.820000000000000000e+02
6.861410069380315058e+00 5.330000000000000000e+02
7.144098240514498599e+00 1.470000000000000000e+02
3.742748174548621076e+00 1.300000000000000000e+01
3.237991883806287774e+00 1.000000000000000000e+01
6.861727959838205493e+00 5.330000000000000000e+02
7.144259151794075002e+00 1.470000000000000000e+02
7.144541488086218806e+00 1.470000000000000000e+02
7.144702389383080110e+00 1.470000000000000000e+02
7.105616320901138039e+00 2.820000000000000000e+02
5.088440940302874083e+00 1.240000000000000000e+02
5.479122677633143645e+00 1.390000000000000000e+02
2.612904182626960115e+00 1.200000000000000000e+01
1.685554038588198189e+00 8.000000000000000000e+00
7.105821651039391007e+00 2.820000000000000000e+02
6.861161155004218415e+00 5.330000000000000000e+02
4.205914270483871675e+00 8.600000000000000000e+01
5.549774949874382912e+00 1.380000000000000000e+02
7.103791742211349458e-01 2.000000000000000000e+00
7.286049698889845994e-01 2.000000000000000000e+00
2.552199320316875131e+00 9.000000000000000000e+00
6.861479056994244097e+00 5.330000000000000000e+02
6.384032143030739626e+00 2.420000000000000000e+02
6.911487317006119291e+00 1.340000000000000000e+02
6.741443279882408213e+00 1.320000000000000000e+02
6.974222847422580251e+00 5.250000000000000000e+02
6.892881905956303790e+00 1.340000000000000000e+02
3.606713078934049133e+00 5.000000000000000000e+01
3.851840347716815938e+00 5.600000000000000000e+01
7.105259993722436107e+00 2.820000000000000000e+02
3.666429257185568780e+00 1.300000000000000000e+01
2.552228237686612999e+00 9.000000000000000000e+00
6.384308489999879654e+00 2.420000000000000000e+02
2.945244170216674728e+00 2.100000000000000000e+01
3.742540976380584361e+00 1.300000000000000000e+01
6.892501451120943701e-01 2.000000000000000000e+00
1.174555337535756694e+00 3.000000000000000000e+00
5.452748864767514192e+00 1.390000000000000000e+02
3.996880279784320145e+00 2.300000000000000000e+01
5.087671913026388104e+00 1.240000000000000000e+02
7.726249674543373969e-01 2.000000000000000000e+00
5.478893799740880866e+00 1.390000000000000000e+02
8.359379819281611557e-01 3.000000000000000000e+00
2.612835593104634757e+00 1.200000000000000000e+01
8.243741126635825145e-01 3.000000000000000000e+00
1.411373336066506834e+00 6.000000000000000000e+00
3.996596676364305267e+00 8.700000000000000000e+01
2.160369152868575338e+00 1.000000000000000000e+01
8.434071721737447236e-01 3.000000000000000000e+00
1.055921131879737462e+00 4.000000000000000000e+00
4.809148869861481046e+00 1.020000000000000000e+02
1.685765545612220917e+00 8.000000000000000000e+00
1.007930741081315862e+00 4.000000000000000000e+00
1.621607461473403955e+00 7.000000000000000000e+00
2.533222837241304592e+00 1.100000000000000000e+01
2.667558775032006224e+00 1.200000000000000000e+01
2.730327873561459562e+00 8.000000000000000000e+00
6.911855640505511822e+00 1.340000000000000000e+02
6.741705671782152187e+00 1.320000000000000000e+02
