# w mse
3.000000000000000000e+00 1.318794464838010617e-03
5.000000000000000000e+00 5.242433847612381660e-03
9.000000000000000000e+00 2.068170022890305354e-02
1.700000000000000000e+01 8.011715274371897233e-02
3.300000000000000000e+01 3.034178940580161687e-01
6.500000000000000000e+01 1.100842636472238345e+00
1.290000000000000000e+02 3.741314716133238072e+00
2.570000000000000000e+02 1.219408939856751850e+01
5.130000000000000000e+02 3.284729345659442146e+01
1.025000000000000000e+03 5.354295159370332158e+01
2.049000000000000000e+03 6.277423434866903307e+01
