# hist bin_edges error
3.372291437664116098e-01 5.080218046913020924e-01 1.110003247364419604e-02
1.008492231895984803e+00 7.626985859023445169e-01 1.566616455368089952e-02
2.852954793956617441e-01 1.145047569938281828e+00 6.800464162116254437e-03
1.403637577518397073e-01 1.719072201858574678e+00 3.892990198392800704e-03
5.027108070881370488e-02 2.580861540418075251e+00 1.901426900247377627e-03
2.031123421818172362e-02 3.874675120456132049e+00 9.864007321573502792e-04
8.998061926252071477e-03 5.817091329374361131e+00 5.358267901456838971e-04
4.016900602739020484e-03 8.733261623828436626e+00 2.921865249391317112e-04
6.257213336663500214e-03 1.311133937421564255e+01 2.976252872827421210e-04
2.857134814938457317e-03 1.968419447286613178e+01 1.641381064506934541e-04
1.362941609264064005e-03 2.955209235202887896e+01 9.252250517764357921e-05
2.677484110645095240e-04 4.436687330978615762e+01 3.346855138306369050e-05
