# hist bin_edges error
3.431444320244262935e-01 5.080218046913020924e-01 1.305382939913482011e-02
9.357530861842831005e-01 7.626985859023445169e-01 1.759319816088725924e-02
2.824527175918314925e-01 1.145047569938281828e+00 7.888632873169647286e-03
1.493946077031144404e-01 1.719072201858574678e+00 4.682319376692617961e-03
6.089822053823078923e-02 2.580861540418075251e+00 2.439835686624309066e-03
2.532768924643699973e-02 3.874675120456132049e+00 1.284164820728679645e-03
1.452848022251555099e-02 5.817091329374361131e+00 7.937756696068339925e-04
6.701820261339399599e-03 8.733261623828436626e+00 4.399960560917450794e-04
4.002188484016256168e-03 1.311133937421564255e+01 2.775018421767712308e-04
1.896816549612534908e-03 1.968419447286613178e+01 1.559173599301713793e-04
1.109778683951463674e-03 2.955209235202887896e+01 9.733402944156324189e-05
1.250964885181370990e-04 4.436687330978615762e+01 2.667066096563822328e-05
