# w mse
3.000000000000000000e+00 1.085328727119442421e-02
5.000000000000000000e+00 2.334538705909670539e-02
9.000000000000000000e+00 5.671028450057796072e-02
1.700000000000000000e+01 1.420009546123990052e-01
3.300000000000000000e+01 3.545199370493820057e-01
6.500000000000000000e+01 8.415687820923710705e-01
1.290000000000000000e+02 1.892876956889613771e+00
2.570000000000000000e+02 4.055145803813854144e+00
5.130000000000000000e+02 8.515900379726149438e+00
1.025000000000000000e+03 1.725978262850054179e+01
2.049000000000000000e+03 2.784355401008804876e+01
4.097000000000000000e+03 2.781005551868733860e+01
8.193000000000000000e+03 3.391123172228159177e+01
