# w mse
3.000000000000000000e+00 1.294488772718702975e-02
5.000000000000000000e+00 1.106030598108683101e-02
9.000000000000000000e+00 1.245130786545816347e-02
1.700000000000000000e+01 2.187451760307946788e-02
3.300000000000000000e+01 5.096539350488522857e-02
6.500000000000000000e+01 1.227167927683098236e-01
1.290000000000000000e+02 2.818408330888918512e-01
2.570000000000000000e+02 6.130938977697301118e-01
5.130000000000000000e+02 1.231095638246731516e+00
1.025000000000000000e+03 2.160888966700122982e+00
2.049000000000000000e+03 2.782227374271677434e+00
4.097000000000000000e+03 2.805252900816280093e+00
8.193000000000000000e+03 3.402087801726823901e+00
1.638500000000000000e+04 4.879474603128053367e+00
