# w mse
3.000000000000000000e+00 3.894017987587762922e-03
5.000000000000000000e+00 4.631236359850048577e-03
9.000000000000000000e+00 6.775664108070412681e-03
1.700000000000000000e+01 9.030430567799877309e-03
3.300000000000000000e+01 2.085882015947137028e-02
6.500000000000000000e+01 5.788577393209284883e-02
1.290000000000000000e+02 1.721534813146067266e-01
2.570000000000000000e+02 4.814912220655301334e-01
5.130000000000000000e+02 1.187159816221502906e+00
1.025000000000000000e+03 2.675482170277399874e+00
2.049000000000000000e+03 4.144950442292963722e+00
4.097000000000000000e+03 4.489319502426428521e+00
8.193000000000000000e+03 8.027230660055877820e+00
