# clusterSize EnergyDrop
0.000000000000000000e+00 -3.841198763762100134e+04
0.000000000000000000e+00 -3.839052397252609808e+04
0.000000000000000000e+00 -3.836873022558500088e+04
0.000000000000000000e+00 -3.833085029433389718e+04
0.000000000000000000e+00 -3.828489421919520100e+04
0.000000000000000000e+00 -3.821997209525109793e+04
0.000000000000000000e+00 -3.814731140795919782e+04
0.000000000000000000e+00 -3.806846528613659757e+04
0.000000000000000000e+00 -3.797623873539760098e+04
0.000000000000000000e+00 -3.787253765215649764e+04
0.000000000000000000e+00 -3.776529728494890151e+04
0.000000000000000000e+00 -3.765396926809140132e+04
1.272000000000000000e+03 -3.822864796083459805e+04
1.269000000000000000e+03 -3.820685515307109745e+04
1.278000000000000000e+03 -3.815180059505360259e+04
1.270000000000000000e+03 -3.809675379389600130e+04
1.271000000000000000e+03 -3.802210460702200362e+04
1.264000000000000000e+03 -3.794787125614740216e+04
1.299000000000000000e+03 -3.813709170338919648e+04
1.454000000000000000e+03 -3.815285643889500352e+04
1.406000000000000000e+03 -3.816775134752949816e+04
1.317000000000000000e+03 -3.815688426989509753e+04
1.291000000000000000e+03 -3.812802933128279983e+04
1.554000000000000000e+03 -3.813147428618359845e+04
1.447000000000000000e+03 -3.811268541766590351e+04
1.335000000000000000e+03 -3.807649352793260186e+04
1.325000000000000000e+03 -3.810047642796319997e+04
1.282000000000000000e+03 -3.811419170936809678e+04
1.548000000000000000e+03 -3.810070757732110360e+04
1.571000000000000000e+03 -3.807232703196979855e+04
1.605000000000000000e+03 -3.804258648400969832e+04
1.577000000000000000e+03 -3.800441625458790077e+04
1.589000000000000000e+03 -3.795861968859629997e+04
1.699000000000000000e+03 -3.796593374033459986e+04
1.768000000000000000e+03 -3.792840531759540318e+04
1.576000000000000000e+03 -3.802145393051230349e+04
1.617000000000000000e+03 -3.800413104979420314e+04
1.499000000000000000e+03 -3.797516023458499694e+04
1.539000000000000000e+03 -3.794526673717029917e+04
1.553000000000000000e+03 -3.790748123581730033e+04
1.421000000000000000e+03 -3.793939995566569996e+04
1.382000000000000000e+03 -3.802632028414330125e+04
1.279000000000000000e+03 -3.812997447107119660e+04
1.291000000000000000e+03 -3.811683672765609663e+04
1.268000000000000000e+03 -3.809662408864479949e+04
1.276000000000000000e+03 -3.819504143752690288e+04
1.274000000000000000e+03 -3.817143340339050337e+04
1.286000000000000000e+03 -3.814787917755840317e+04
1.291000000000000000e+03 -3.811499225422459858e+04
1.295000000000000000e+03 -3.807594773889229691e+04
1.297000000000000000e+03 -3.802889297126830206e+04
1.287000000000000000e+03 -3.798660996811470250e+04
1.291000000000000000e+03 -3.793965953953479766e+04
1.290000000000000000e+03 -3.788035731414600014e+04
1.324000000000000000e+03 -3.786902797334399656e+04
1.470000000000000000e+03 -3.785786009130070306e+04
1.508000000000000000e+03 -3.781574600104550336e+04
1.391000000000000000e+03 -3.796185335908299749e+04
1.439000000000000000e+03 -3.798665211926730262e+04
1.463000000000000000e+03 -3.797198587794989726e+04
1.486000000000000000e+03 -3.795321466192640219e+04
1.405000000000000000e+03 -3.801303624416379898e+04
1.439000000000000000e+03 -3.800464282842019747e+04
1.292000000000000000e+03 -3.799871566843899927e+04
1.339000000000000000e+03 -3.798928196629729791e+04
1.308000000000000000e+03 -3.796456421280049835e+04
1.315000000000000000e+03 -3.794051461302040116e+04
1.416000000000000000e+03 -3.792076875680190278e+04
1.417000000000000000e+03 -3.788675947877050203e+04
1.414000000000000000e+03 -3.790214932589470118e+04
1.399000000000000000e+03 -3.790266083889269794e+04
1.414000000000000000e+03 -3.789055999224600237e+04
1.356000000000000000e+03 -3.791193354674550210e+04
1.314000000000000000e+03 -3.792541612518690090e+04
1.350000000000000000e+03 -3.791126251187890011e+04
1.329000000000000000e+03 -3.790934169392639888e+04
1.326000000000000000e+03 -3.791064459075799823e+04
1.255000000000000000e+03 -3.798522206645100232e+04
1.315000000000000000e+03 -3.799698669220919692e+04
1.225000000000000000e+03 -3.805404231081710168e+04
1.267000000000000000e+03 -3.810072275366119720e+04
1.271000000000000000e+03 -3.809027483411080175e+04
1.293000000000000000e+03 -3.807544182596530300e+04
1.306000000000000000e+03 -3.805927065278759983e+04
1.317000000000000000e+03 -3.803519881518300099e+04
1.301000000000000000e+03 -3.800955372867570259e+04
1.314000000000000000e+03 -3.798608291275829833e+04
1.320000000000000000e+03 -3.795371866501290060e+04
1.290000000000000000e+03 -3.792765037437209685e+04
1.612000000000000000e+03 -3.795296407081399957e+04
1.634000000000000000e+03 -3.792612534094660077e+04
1.598000000000000000e+03 -3.791362956261719955e+04
1.718000000000000000e+03 -3.790140663828259858e+04
1.710000000000000000e+03 -3.787311144860050263e+04
1.688000000000000000e+03 -3.787454628258929733e+04
1.518000000000000000e+03 -3.787203971662349795e+04
1.522000000000000000e+03 -3.785375709637279942e+04
1.511000000000000000e+03 -3.782480167712979892e+04
1.537000000000000000e+03 -3.779189967083920055e+04
1.532000000000000000e+03 -3.775960164101269766e+04
1.518000000000000000e+03 -3.777854326560709887e+04
