# prediction	actual
5.137532865016767758e+00 1.472294997386764726e+00
4.291872974061206492e+00 3.681811164556803018e+00
4.991218467752513988e+00 4.409172664851952028e+00
6.511819872806726472e+00 3.793041843959469084e+00
8.877941092345690066e+00 6.195885247527186834e+00
4.042929149750484008e+00 3.465034659857385790e+00
6.072323297234055062e+00 3.897242476480770712e+00
8.027624906680230765e+00 4.221373640165193564e+00
7.207092384105067140e+00 4.222804740472406948e+00
7.928607174062165086e+00 4.296230603136693027e+00
3.755510790167225998e+00 3.232285469936038602e+00
4.632426947208470480e+00 3.375973658181730119e+00
6.964806415565639064e+00 4.006021756661515276e+00
4.320764592828393091e+00 4.008120527954134538e+00
5.214076441069080303e+00 3.699637104975054047e+00
6.720963198519961601e+00 3.911452764115963543e+00
5.549442269044728704e+00 3.532636517764944362e+00
2.505011189422912121e+00 2.027716242157711513e+00
7.391625634636263875e+00 4.088523679559322055e+00
5.711511748310625691e+00 3.739548530749129185e+00
5.790632615433891850e+00 3.713708145162069929e+00
7.354710329918436429e+00 4.249984191473645367e+00
4.205185195791719011e+00 3.655755003948579329e+00
5.618933235352627342e+00 4.358704447887578048e+00
7.165629955683050056e+00 3.917940007122993062e+00
7.142775418422933065e+00 3.968800415778958701e+00
6.542422956323646233e+00 3.803167256938599472e+00
5.522935610306380916e+00 3.434427591465501362e+00
3.311749317222861588e+00 2.810038854651471407e+00
5.199547587979121310e+00 3.640035962891302823e+00
5.964736142395038243e+00 4.650781501847242261e+00
1.080983412260167320e+01 5.109310269224275558e+00
7.902260521721358622e+00 4.347162145706687575e+00
5.693875869620378616e+00 4.523530704001236913e+00
5.734754761034300152e+00 3.626867043978168059e+00
2.222927379522380065e+00 2.835710913341771278e-01
5.076804374070754022e+00 3.067333863696164897e+00
5.057167619017420179e+00 2.895737991565704661e+00
4.231942909957878918e+00 3.518819819071746569e+00
1.448001199560375651e+00 1.027991294971161818e+00
3.724424645234372999e+00 3.209983758284795652e+00
3.771783793978512822e+00 3.299482816511762895e+00
4.130870883826889717e+00 3.570762652712862639e+00
6.849664828822479734e+00 3.845827599907199801e+00
4.937974718494085202e+00 3.412733221941545825e+00
3.730714605529578343e+00 3.131207209053608498e+00
3.790548046029860618e+00 3.157253867479946408e+00
5.049036667676478629e+00 3.830488355188061522e+00
6.379356138106307306e+00 3.780228292493508224e+00
7.375030891021324919e+00 3.833053331712875433e+00
5.751207847600257494e+00 3.643660545601673739e+00
7.060838206021744057e+00 3.759523490668829293e+00
5.524756769735527762e+00 3.751232223724805692e+00
7.683692940559541107e+00 4.033682075397326372e+00
5.068319783580332860e+00 3.064859583397131715e+00
3.944097006704666342e+00 3.379312468582071460e+00
4.927724631927853594e+00 3.425561733358235550e+00
6.896179433231776734e+00 3.878775097980424302e+00
5.430271447594301470e+00 3.626602714992221088e+00
6.513578364109240404e+00 3.681584811412820457e+00
5.082638263739260864e+00 3.826076223394465625e+00
5.047560134235554052e+00 2.944723128566642423e+00
3.062665238921729927e+00 2.869180633709405570e-01
7.564931013396541282e+00 4.396802880889693732e+00
4.318500326245587217e+00 3.157818085400754260e+00
3.872489505031269097e+00 3.196550113047306851e+00
5.078857006469572610e+00 2.922883697576321715e+00
4.674198187322682330e+00 3.347585805158487915e+00
6.729563084177012655e+00 4.011304530280654035e+00
5.132104049214710528e+00 3.479444415799275436e+00
6.583429438735364236e+00 3.792077709909372984e+00
7.479560597462908689e+00 3.933735083149874079e+00
7.248757567431183269e+00 3.742418739435048991e+00
5.073050417349204366e+00 2.677660549830692016e+00
5.121622901669464767e+00 3.877862876881004173e+00
6.791340003429420236e+00 3.884583106374703831e+00
8.036228443665969223e+00 4.111688752608849917e+00
4.952297240966160530e+00 3.370917997369008212e+00
5.807775647344882053e+00 3.669672026242521312e+00
1.917860999736005656e+00 1.555650891570467875e+00
3.588854638762647209e+00 3.238799383589287650e+00
5.072658270258929569e+00 2.846215625669580085e+00
7.129657132423897536e+00 3.967354757463628090e+00
5.522921409805555903e+00 3.681409915708074188e+00
3.909560217615895894e+00 3.423459119187918898e+00
5.211262060339160840e+00 4.054178237421810493e+00
6.896423287822203818e+00 4.008727292763343719e+00
1.127664436016840277e+01 7.276401745032748281e+00
5.785610479399526440e+00 3.676891574960233111e+00
6.492889283743632944e+00 3.650778075895758867e+00
1.363273528521614075e+01 3.941652964615919963e+00
