# w mse
3.000000000000000000e+00 8.221026416815956084e-03
5.000000000000000000e+00 4.023993521892225630e-03
9.000000000000000000e+00 4.111825372646369867e-03
1.700000000000000000e+01 5.123599343093990233e-03
3.300000000000000000e+01 8.115126502108702122e-03
6.500000000000000000e+01 1.607743813624095547e-02
1.290000000000000000e+02 3.658833144066118287e-02
2.570000000000000000e+02 8.884989235593961088e-02
5.130000000000000000e+02 2.033118638438197179e-01
1.025000000000000000e+03 4.648870812087729787e-01
2.049000000000000000e+03 1.183013713029858582e+00
4.097000000000000000e+03 2.782346056825019343e+00
8.193000000000000000e+03 3.990132070093605599e+00
1.638500000000000000e+04 3.988902499831675552e+00
3.276900000000000000e+04 6.504182468487065272e+00
