# w mse
3.000000000000000000e+00 5.746881732428882859e-03
5.000000000000000000e+00 1.744646911248133245e-02
9.000000000000000000e+00 5.374528831940535156e-02
1.700000000000000000e+01 1.390853210663749451e-01
3.300000000000000000e+01 3.417240998608969127e-01
6.500000000000000000e+01 8.728004719663664535e-01
1.290000000000000000e+02 1.965643212137796914e+00
2.570000000000000000e+02 4.123297242958584796e+00
5.130000000000000000e+02 7.852837064811361678e+00
1.025000000000000000e+03 1.378845480935504142e+01
2.049000000000000000e+03 2.013187474945571509e+01
4.097000000000000000e+03 2.424182700837455329e+01
8.193000000000000000e+03 2.803501098571422290e+01
