# w mse
3.000000000000000000e+00 1.376398357476326132e-03
5.000000000000000000e+00 5.471187929102431027e-03
9.000000000000000000e+00 2.159218670160387155e-02
1.700000000000000000e+01 8.368583714829970488e-02
3.300000000000000000e+01 3.163064680057077194e-01
6.500000000000000000e+01 1.138402489680826690e+00
1.290000000000000000e+02 3.833061566187317748e+00
2.570000000000000000e+02 1.240815765353565148e+01
5.130000000000000000e+02 3.359915818665427167e+01
1.025000000000000000e+03 5.445863999860960547e+01
2.049000000000000000e+03 6.292574523077638560e+01
