# rg size
1.006322772165160195e+00 3.000000000000000000e+00
1.006070311143160811e+00 3.000000000000000000e+00
6.951981525682209284e-01 2.000000000000000000e+00
1.317797347097397598e+00 4.000000000000000000e+00
6.749200697121561232e-01 2.000000000000000000e+00
7.773442685625704396e-01 2.000000000000000000e+00
7.933509068926495322e-01 2.000000000000000000e+00
6.611487432240931161e-01 2.000000000000000000e+00
9.163795562490395508e-01 3.000000000000000000e+00
7.750748477837164918e-01 2.000000000000000000e+00
7.312830537259549235e-01 2.000000000000000000e+00
9.146320627080684051e-01 2.000000000000000000e+00
1.188810473940555168e+00 4.000000000000000000e+00
7.451935674597155446e-01 2.000000000000000000e+00
8.635130357721041428e-01 3.000000000000000000e+00
7.544368190910525351e-01 2.000000000000000000e+00
7.143932075548138361e-01 2.000000000000000000e+00
6.609719791087671492e-01 2.000000000000000000e+00
1.749504529132063446e+00 5.000000000000000000e+00
1.084224489095978239e+00 4.000000000000000000e+00
7.386808690953557965e-01 2.000000000000000000e+00
1.208132634587245402e+00 5.000000000000000000e+00
7.286477512032509818e-01 2.000000000000000000e+00
1.050456778704385030e+00 3.000000000000000000e+00
7.231295103000412450e-01 2.000000000000000000e+00
1.083928628431525487e+00 4.000000000000000000e+00
7.495777735944020304e-01 2.000000000000000000e+00
7.134015898029557601e-01 2.000000000000000000e+00
6.450386965138307227e-01 2.000000000000000000e+00
9.587102003562066876e-01 3.000000000000000000e+00
1.749278114427258668e+00 5.000000000000000000e+00
8.806474147824330245e-01 3.000000000000000000e+00
7.475619004024852687e-01 2.000000000000000000e+00
8.014309540856934255e-01 2.000000000000000000e+00
6.706889720032872537e-01 2.000000000000000000e+00
7.131613891682314632e-01 2.000000000000000000e+00
1.564848023612384287e+00 5.000000000000000000e+00
7.383484485670469555e-01 2.000000000000000000e+00
7.750173396985919894e-01 2.000000000000000000e+00
1.987032503705742581e+00 1.000000000000000000e+01
1.987231975763460667e+00 1.000000000000000000e+01
1.094153710697648219e+00 4.000000000000000000e+00
1.126145566428584877e+00 5.000000000000000000e+00
8.064376228202900787e-01 2.000000000000000000e+00
8.735539729345209725e-01 3.000000000000000000e+00
9.266956378041929510e-01 4.000000000000000000e+00
1.057299245128990428e+00 4.000000000000000000e+00
1.317354872951047140e+00 4.000000000000000000e+00
9.963915123690808562e-01 4.000000000000000000e+00
8.522114464103177633e-01 3.000000000000000000e+00
1.094010614779528545e+00 4.000000000000000000e+00
7.111839068529991481e-01 2.000000000000000000e+00
6.918022751119293767e-01 2.000000000000000000e+00
7.663717891468454502e-01 2.000000000000000000e+00
8.485499932893905140e-01 3.000000000000000000e+00
7.061221970503134271e-01 2.000000000000000000e+00
7.565768165450110772e-01 2.000000000000000000e+00
1.662503435515517047e+00 4.000000000000000000e+00
7.363709777239506593e-01 2.000000000000000000e+00
1.987473448998494208e+00 1.000000000000000000e+01
7.337160524800695471e-01 2.000000000000000000e+00
1.089713355650029136e+00 3.000000000000000000e+00
7.575067389139960028e-01 2.000000000000000000e+00
1.176511143578311547e+00 3.000000000000000000e+00
1.387305620728781053e+00 8.000000000000000000e+00
7.435777898444837497e-01 2.000000000000000000e+00
7.424770169619765436e-01 2.000000000000000000e+00
6.830019672982904355e-01 2.000000000000000000e+00
7.642146342487876609e-01 2.000000000000000000e+00
8.846518146873808552e-01 3.000000000000000000e+00
7.466775343368396989e-01 2.000000000000000000e+00
1.161710104783308495e+00 3.000000000000000000e+00
1.027011109279526435e+00 4.000000000000000000e+00
1.442886196053786430e+00 7.000000000000000000e+00
1.842628253327644794e+00 1.100000000000000000e+01
6.994403646965918764e-01 2.000000000000000000e+00
9.645338981237627785e-01 3.000000000000000000e+00
1.536873341470051058e+00 8.000000000000000000e+00
9.491426749765836668e-01 3.000000000000000000e+00
7.760468289479649506e-01 2.000000000000000000e+00
9.662374401232672883e-01 4.000000000000000000e+00
6.812227661225156439e-01 2.000000000000000000e+00
7.584182223769221354e-01 2.000000000000000000e+00
1.005727922341854486e+00 3.000000000000000000e+00
6.655136110554221718e-01 2.000000000000000000e+00
1.387575606810526496e+00 8.000000000000000000e+00
8.478718530404850684e-01 3.000000000000000000e+00
7.127940402623476057e-01 2.000000000000000000e+00
6.564614428890828135e-01 2.000000000000000000e+00
1.427268915582528663e+00 7.000000000000000000e+00
1.182486775126362799e+00 6.000000000000000000e+00
9.081282948196965910e-01 3.000000000000000000e+00
1.149189960240949882e+00 3.000000000000000000e+00
