#grainID1 grainID2 x y phi1 Phi phi2 angle
0 7 -7.216773e-03 2.886709e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 7 2.886709e-02 1.933728e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5 17 -1.581497e+01 -5.369786e+00 7.896381e+01 1.361334e+02 1.203050e+02 1.728318e+02
5 17 -1.598651e+01 -5.215166e+00 7.631695e+01 1.360324e+02 1.178561e+02 1.747060e+02
0 7 -8.660127e-02 2.886709e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5 17 -1.565117e+01 -5.546959e+00 3.214556e+02 1.083253e+02 2.166583e+02 1.788957e+02
5 17 -1.550514e+01 -5.757144e+00 3.097001e+02 7.106970e+01 3.594037e+01 7.231827e+01
0 24 -5.142672e+01 -4.749930e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 24 -5.142672e+01 -4.249938e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
13 21 -2.317828e+01 -2.117574e+01 1.795464e+02 5.864107e+01 4.306167e+01 1.430642e+02
13 21 -2.320813e+01 -2.111390e+01 7.124207e-01 1.214401e+02 3.158603e+02 1.259506e+02
3 5 -1.667909e+01 -5.218182e+00 1.462995e+02 1.686787e+02 1.544892e+02 1.701607e+02
3 5 -1.684606e+01 -5.252862e+00 1.491653e+02 1.675081e+02 3.362721e+02 1.742832e+02
3 5 -1.642943e+01 -5.179904e+00 1.489338e+02 1.690070e+02 3.377065e+02 1.750702e+02
0 54 2.886709e-02 -5.849914e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 54 2.886709e-02 -5.844914e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 54 2.886709e-02 -5.854914e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 54 2.886709e-02 -5.859914e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 54 2.886709e-02 -5.939913e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 54 2.886709e-02 -5.944913e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3 10 -1.709270e+01 -5.299100e+00 1.964462e+02 5.908847e+01 1.290520e+02 6.762983e+01
3 10 -1.741616e+01 -5.343793e+00 3.100312e+02 5.497897e+01 5.175959e+01 5.500585e+01
5 10 -1.663215e+01 -5.664268e+00 1.354360e+02 1.098816e+02 3.135773e+02 1.316330e+02
5 10 -1.640738e+01 -5.983489e+00 1.357502e+02 1.106340e+02 3.150837e+02 1.329149e+02
5 10 -1.682135e+01 -5.389834e+00 2.407338e+01 1.318036e+02 2.426012e+02 1.474540e+02
5 17 -1.537352e+01 -6.928615e+00 7.342171e+00 1.380195e+02 2.370199e+02 1.580033e+02
