#grain_i_ID grain_j_ID phi1 Phi phi2 angle
1 3 6.608311e+01 1.303348e+02 2.869383e+01 5.862151e+01
1 24 2.050982e+02 1.457647e+02 5.754920e+01 4.683413e+01
2 7 1.881754e+02 9.960817e+01 3.454612e+02 1.973459e+01
3 5 1.260124e+02 1.665329e+02 2.128935e+02 1.382195e+01
3 10 7.517012e+01 1.232192e+02 4.063686e+01 5.699160e+01
3 17 1.324296e+02 1.086808e+02 3.353072e+02 5.271398e+01
3 24 3.534858e+02 7.779713e+01 2.683132e+02 1.401270e+01
4 7 3.105086e+02 6.638386e+01 2.879433e+02 5.271789e+01
4 8 4.325605e-01 7.927698e+01 4.245245e+01 4.376638e+01
4 17 1.351505e+02 7.099012e+01 4.479218e+01 5.979358e+01
5 6 2.589866e+02 7.863431e+01 1.733019e+02 1.758661e+01
5 10 2.634211e+01 4.901924e+01 2.067972e+02 5.936542e+01
5 17 3.199302e+02 5.794560e+01 1.570671e+02 5.741044e+01
5 28 3.221104e+02 1.077292e+02 1.218050e+02 5.548202e+01
6 10 3.274002e+02 1.086531e+02 1.514612e+02 4.340760e+01
6 13 1.350366e+02 1.091283e+02 3.149947e+02 5.998276e+01
6 28 2.524101e+02 6.876839e+01 5.205822e+01 4.915155e+01
7 8 1.557622e+02 4.914692e+01 3.344940e+02 5.732542e+01
7 11 2.831567e+02 1.423512e+02 1.344135e+02 4.856788e+01
7 17 2.585147e+02 1.371341e+02 5.104982e+01 5.055841e+01
8 9 2.434200e+02 1.321659e+02 2.661965e+01 5.968463e+01
8 11 7.922391e+01 1.429868e+02 4.782728e+01 4.817711e+01
8 17 8.099696e+01 1.263717e+02 3.446697e+02 3.924596e+01
9 11 3.238893e+02 8.387623e+01 2.161135e+02 4.960102e+01
9 17 3.190930e+02 9.983795e+01 1.515389e+02 4.837039e+01
10 12 2.595917e+01 4.805964e+01 2.971495e+02 5.991172e+01
10 13 2.270089e+02 1.403174e+02 1.535192e+02 4.285202e+01
10 24 2.146325e+02 8.985911e+01 3.244103e+01 4.714026e+01
11 14 3.147516e+02 1.091855e+02 2.251525e+02 5.994584e+01
11 17 1.271880e+02 1.666156e+01 1.683945e+02 3.045383e+01
12 13 1.006341e+01 1.632628e+02 2.654347e+02 2.219477e+01
12 21 5.946226e+01 7.847420e+01 2.263475e+02 5.354851e+01
12 24 2.556731e+02 1.371965e+02 4.194313e+01 5.400128e+01
13 21 2.264946e+02 9.044160e+01 5.897780e+01 5.289586e+01
13 28 1.487001e+02 1.215730e+02 3.120456e+02 5.756070e+01
14 15 6.278399e+01 1.316120e+02 2.959164e+02 5.985213e+01
14 17 3.121845e+02 1.256807e+02 1.595910e+02 5.708342e+01
14 35 2.693412e+02 7.965744e+01 2.585633e+02 1.546621e+01
15 34 1.495982e+02 6.697836e+01 2.027418e+02 4.077489e+01
15 35 1.974705e+01 1.409986e+02 4.648023e+01 4.698788e+01
16 35 1.160770e+02 1.324933e+02 1.526937e+02 5.932498e+01
17 18 1.937878e+02 1.254982e+02 1.453812e+02 5.379755e+01
17 19 1.301287e+02 1.325901e+02 4.948316e+01 4.827161e+01
17 28 2.056510e+02 4.982743e+01 1.193866e+02 5.990024e+01
17 35 7.014708e+01 6.123721e+01 3.950667e+01 4.829736e+01
18 19 1.533230e+02 4.878223e+01 1.535661e+02 5.953108e+01
18 20 1.167238e+02 8.384737e+01 2.667696e+01 3.906269e+01
18 35 1.160665e+02 1.324373e+02 1.528144e+02 5.944451e+01
19 20 1.533500e+02 4.785284e+01 6.389774e+01 5.995946e+01
19 28 7.975424e+01 1.072132e+02 3.476540e+02 2.265734e+01
20 28 2.297073e+02 8.991806e+01 3.299020e+01 5.161872e+01
20 35 3.326763e+02 4.859361e+01 1.536857e+02 5.998501e+01
21 23 1.158283e+02 4.818093e+01 1.169074e+02 5.978243e+01
21 24 1.157873e+02 1.418050e+02 1.956871e+02 3.945969e+01
21 28 2.431133e+02 7.938823e+01 3.596441e+01 4.382208e+01
22 23 3.597438e+02 7.292239e+01 3.531154e+02 1.841962e+01
22 24 2.546559e+02 5.917729e+01 1.280788e+02 4.766792e+01
22 25 1.160021e+02 1.055052e+02 1.996669e+02 3.393960e+01
22 26 3.030958e+02 1.174407e+02 3.471511e+02 4.678051e+01
23 24 2.430672e+02 9.362405e+01 1.957177e+02 3.174019e+01
23 26 3.151053e+02 7.066569e+01 4.495206e+01 5.991156e+01
23 28 7.432293e+00 1.087204e+02 3.572037e+02 2.048727e+01
24 25 1.294236e+02 1.393063e+02 2.601341e+02 5.694279e+01
24 29 2.706161e+01 1.319888e+02 2.433997e+02 5.955534e+01
25 26 1.511706e+02 1.365064e+02 1.571951e+02 4.388877e+01
25 29 4.735239e+01 6.620434e+01 1.928704e+01 4.865494e+01
25 30 5.577731e+01 1.615419e+02 3.055353e+02 2.732922e+01
25 37 6.331555e+01 1.318018e+02 2.618509e+01 5.984377e+01
26 28 1.163783e+01 6.390138e+01 3.009329e+02 4.376329e+01
26 30 1.777556e+02 4.811416e+01 5.854869e+01 5.249024e+01
27 28 2.532912e+01 4.869306e+01 2.749250e+02 4.932013e+01
27 30 1.687884e+02 7.097129e+01 7.380763e+01 2.838815e+01
27 33 3.149034e+02 7.055563e+01 4.518472e+01 5.983759e+01
28 30 2.280507e+02 1.108137e+02 4.522179e+01 5.819850e+01
28 33 3.523991e+02 6.280283e+01 9.791093e+01 2.879490e+01
28 35 9.916207e+01 9.963553e+01 7.240799e+01 2.262271e+01
28 43 1.181713e+02 1.315598e+02 2.415673e+02 5.825932e+01
29 32 1.350978e+02 7.072203e+01 2.246508e+02 5.974190e+01
29 37 3.535585e+02 6.724182e+01 1.034906e+01 2.525836e+01
30 33 6.350250e+01 1.291607e+02 2.360749e+00 4.749783e+01
30 37 2.231769e+02 2.997480e+01 2.109539e+02 3.383112e+01
31 35 3.336545e+02 1.311613e+02 2.630380e+01 5.922015e+01
32 37 3.588897e+02 1.236328e+02 5.518985e+01 4.781407e+01
32 44 2.977208e+02 9.639889e+01 6.659791e+01 3.764838e+01
33 36 3.149157e+02 7.112050e+01 1.348232e+02 5.994919e+01
33 37 1.528520e+02 1.555473e+02 1.703631e+02 2.999829e+01
33 42 2.113000e+02 3.082026e+01 3.576544e+02 4.204583e+01
33 43 3.193635e+02 1.338091e+02 1.513349e+02 4.763464e+01
34 35 1.163460e+02 1.324603e+02 1.531965e+02 5.948655e+01
34 39 2.933438e+02 2.861597e+01 2.630264e+02 3.288249e+01
35 39 2.238678e+01 1.609907e+02 2.562137e+02 4.071532e+01
35 43 3.120588e+02 3.604862e+01 2.084953e+02 4.080523e+01
36 42 7.549234e+01 8.057474e+01 6.643392e+01 3.010349e+01
36 43 2.287836e+02 6.282114e+01 1.466034e+02 5.772116e+01
36 50 4.509694e+01 7.118765e+01 4.508422e+01 5.999604e+01
37 42 3.335732e+02 1.321268e+02 2.060539e+02 5.987285e+01
37 44 2.035942e+02 6.256560e+01 1.913302e+02 3.938050e+01
37 46 1.230519e+02 1.499105e+02 1.493593e+02 3.976706e+01
38 43 3.154582e+02 9.002916e+01 1.799743e+02 4.454186e+01
38 48 1.387430e+02 1.354460e+02 2.996044e+01 4.816489e+01
39 40 3.150104e+02 7.059020e+01 2.247837e+02 5.986926e+01
39 43 3.346662e+02 1.344190e+02 3.064402e+00 5.149014e+01
40 43 1.504263e+02 6.630918e+01 3.427942e+02 4.380852e+01
40 48 3.151233e+02 7.063576e+01 2.251406e+02 5.999045e+01
41 43 3.150709e+02 9.007768e+01 1.802364e+02 4.492995e+01
41 48 1.380871e+02 1.354119e+02 2.958373e+01 4.809352e+01
42 45 1.171293e+02 1.317218e+02 3.338772e+02 5.999835e+01
42 46 1.692352e+02 7.492580e+01 3.523189e+02 2.055931e+01
42 50 1.825074e+02 3.087801e+01 1.485352e+02 4.208924e+01
43 48 1.767984e+02 1.344323e+02 2.053579e+02 5.154736e+01
43 50 2.855340e+01 1.338701e+02 4.053329e+01 4.757771e+01
44 46 1.371344e+02 1.089976e+02 2.171648e+02 5.721488e+01
44 51 3.382739e+02 1.142842e+02 9.623802e-01 3.262522e+01
45 46 1.538168e+02 7.436084e+01 2.100280e+02 3.989864e+01
45 50 1.753308e+02 1.143050e+02 1.665217e+01 3.030118e+01
45 55 3.285262e+02 7.485451e+01 2.302607e+02 5.545423e+01
46 47 3.431598e+02 6.657805e+01 2.000909e+01 3.290140e+01
46 51 1.165518e+02 1.320664e+02 1.536181e+02 5.991587e+01
46 52 1.105868e+02 1.370457e+02 1.642049e+02 5.572896e+01
46 55 3.200859e+02 1.487749e+02 2.203982e+02 3.265770e+01
46 56 3.430205e+02 6.616215e+01 2.012469e+01 3.326459e+01
47 52 2.685744e+01 1.321393e+02 6.353462e+01 5.963386e+01
47 55 3.282113e+02 8.439237e+01 2.415816e+02 4.376833e+01
48 49 2.066594e+02 4.789524e+01 2.061855e+02 5.993801e+01
48 50 1.323186e+02 8.728104e+01 1.984327e+02 4.646534e+01
49 50 7.242137e+01 7.659480e+01 2.456885e+02 3.422036e+01
49 53 2.618858e+02 1.280416e+02 3.132263e+02 5.797865e+01
50 53 9.714956e+01 1.539673e+02 1.118521e+02 2.983510e+01
50 55 5.836510e+01 1.532175e+02 1.160529e+02 4.173971e+01
51 56 1.268113e+02 1.376009e+02 1.471665e+02 4.682839e+01
52 55 1.801735e+02 7.143263e+01 1.966850e+01 2.700619e+01
52 56 1.161717e+02 1.325163e+02 1.530046e+02 5.943310e+01
53 54 1.532159e+02 1.317054e+02 2.064090e+02 5.995553e+01
53 55 1.732536e+02 1.699917e+01 2.259451e+02 4.259266e+01
54 55 3.272167e+02 1.155424e+02 6.241516e+01 4.510880e+01
55 56 2.986289e+02 8.477360e+01 2.118286e+02 4.382461e+01
