# w mse
3.000000000000000000e+00 5.390513156377348125e-03
5.000000000000000000e+00 8.214588958714349326e-03
9.000000000000000000e+00 1.976135165161487656e-02
1.700000000000000000e+01 5.193766400111047427e-02
3.300000000000000000e+01 1.345516626254148473e-01
6.500000000000000000e+01 3.368171118581691492e-01
1.290000000000000000e+02 8.082854227493969645e-01
2.570000000000000000e+02 1.839211892667719450e+00
5.130000000000000000e+02 3.621117463507213863e+00
1.025000000000000000e+03 6.029846793306210095e+00
2.049000000000000000e+03 6.244410376364748494e+00
4.097000000000000000e+03 9.142580174988202302e+00
8.193000000000000000e+03 1.504363067807120657e+01
