# w mse
3.000000000000000000e+00 4.190165167262138723e-02
5.000000000000000000e+00 7.960173827461897167e-02
9.000000000000000000e+00 1.750972887895590469e-01
1.700000000000000000e+01 3.839586252191005689e-01
3.300000000000000000e+01 8.093368476633554520e-01
6.500000000000000000e+01 1.657377613016159490e+00
1.290000000000000000e+02 3.251077842668233409e+00
2.570000000000000000e+02 5.880774447721853981e+00
5.130000000000000000e+02 1.030588784060437213e+01
1.025000000000000000e+03 2.210928887968261236e+01
2.049000000000000000e+03 3.896111546274975979e+01
4.097000000000000000e+03 4.170066203701199470e+01
