,#grainID,x,y,grainSize,perimeter,boundarySize,numNeighbors,h(Gpa)
130,1081.0,-247.7424,-306.7673,2312.0,222.8388,471.0,20.0,3.2783333333333338
131,1.0,-0.01895424,0.06838719,1.0,3.695012,5.0,1.0,0.0
132,2.0,-85.90903,-0.7999936,1.0,2.771259,6.0,1.0,0.0
133,3.0,-85.90903,-2.399981,1.0,2.771259,6.0,2.0,0.0
134,4.0,-141.3357,-0.8527744,10.0,13.0563,24.0,3.0,0.0
135,5.0,-85.90903,-3.199974,1.0,2.771259,6.0,3.0,0.0
136,6.0,-85.90903,-3.999968,1.0,2.771259,6.0,2.0,0.0
137,7.0,-45.84892,-1.615458,26.0,21.37008,40.0,4.0,0.0
138,8.0,-274.28,-1.960737,45.0,25.77962,41.0,2.0,0.0
139,9.0,-39.4913,-2.713931,37.0,24.60321,49.0,3.0,0.0
140,10.0,-42.91045,-2.722916,39.0,25.98884,50.0,4.0,0.0
141,11.0,-89.73063,-2.982582,38.0,25.98884,52.0,4.0,0.0
142,12.0,-157.7712,-2.010786,186.0,68.01961,109.0,4.0,0.0
143,13.0,-89.89272,-6.19995,8.0,12.00879,26.0,3.0,0.0
144,14.0,-218.7346,-2.310994,80.0,35.68825,61.0,3.0,0.0
145,15.0,-276.4881,-6.399949,2.0,4.833123,8.0,3.0,0.0
146,16.0,-36.13073,-3.417493,54.0,30.60761,60.0,3.0,0.0
147,17.0,-33.50278,-3.741767,25.0,30.60761,62.0,3.0,0.0
148,18.0,-218.2367,-8.399933,1.0,2.771259,6.0,2.0,0.0
149,19.0,-85.21622,-9.199926,1.0,2.771259,6.0,4.0,0.0
150,20.0,-85.01725,-3.892941,72.0,41.69265,104.0,10.0,0.0
151,21.0,-84.02853,-9.085642,7.0,9.23753,20.0,4.0,0.0
152,22.0,-85.21622,-9.99992,1.0,2.771259,6.0,4.0,0.0
153,23.0,-93.32794,-4.875863,50.0,30.60761,64.0,6.0,0.0
154,24.0,-150.298,-5.639461,162.0,56.34894,122.0,5.0,0.0
155,25.0,-175.975,-9.599923,1.0,2.771259,6.0,1.0,0.0
156,26.0,-178.0534,-9.733255,3.0,6.466271,14.0,1.0,0.0
157,27.0,-180.1318,-9.599923,1.0,2.771259,6.0,1.0,0.0
158,28.0,-183.2495,-9.799922,6.0,12.00879,26.0,1.0,0.0
159,29.0,-186.3672,-9.99992,1.0,2.771259,6.0,1.0,0.0
160,30.0,-187.7528,-9.99992,1.0,2.771259,6.0,1.0,0.0
161,31.0,-212.4366,-5.199375,90.0,36.612,75.0,5.0,0.0
162,32.0,-257.3926,-3.472041,61.0,36.15013,70.0,2.0,0.0
163,33.0,-15.24193,-10.39992,1.0,2.771259,6.0,1.0,0.0
164,34.0,-78.55058,-4.192794,148.0,45.84953,83.0,2.0,0.0
165,35.0,-92.83718,-10.39992,3.0,6.466271,14.0,3.0,0.0
166,36.0,-216.1582,-8.159935,25.0,19.39881,42.0,6.0,0.0
167,37.0,-42.2617,-11.59991,1.0,2.771259,6.0,3.0,0.0
168,38.0,-84.5234,-11.19991,1.0,2.771259,6.0,2.0,0.0
169,39.0,-89.05606,-8.894844,59.0,28.63634,62.0,9.0,0.0
170,40.0,-31.18525,-5.176751,87.0,44.00203,91.0,5.0,0.0
171,41.0,-42.95452,-11.9999,1.0,2.771259,6.0,3.0,0.0
172,42.0,-84.5234,-11.9999,1.0,2.771259,6.0,5.0,0.0
173,43.0,-101.8257,-4.93788,285.0,62.01521,108.0,5.0,0.0
174,44.0,-15.93474,-13.19989,1.0,2.771259,6.0,1.0,0.0
175,45.0,-61.66051,-13.19989,1.0,2.771259,6.0,1.0,0.0
176,46.0,-69.28949,-6.492849,61.0,42.6164,90.0,3.0,0.0
177,47.0,-84.5234,-12.7999,1.0,2.771259,6.0,4.0,0.0
178,48.0,-85.73583,-12.8999,4.0,7.390024,16.0,5.0,0.0
179,49.0,-122.6282,-13.19989,1.0,2.771259,6.0,3.0,0.0
180,50.0,-131.2469,-5.147248,405.0,76.33338,137.0,7.0,0.0
181,51.0,-168.354,-13.19989,1.0,2.771259,6.0,3.0,0.0
182,52.0,-64.43177,-13.99989,1.0,2.771259,6.0,1.0,0.0
183,53.0,-75.96173,-7.771158,162.0,86.95654,180.0,14.0,0.0
184,54.0,-83.83059,-13.99989,1.0,2.771259,6.0,4.0,0.0
185,55.0,-84.5234,-13.59989,1.0,2.771259,6.0,5.0,0.0
186,56.0,-121.8199,-12.5999,6.0,10.16128,22.0,4.0,0.0
187,57.0,-188.3676,-6.021861,972.0,128.5254,286.0,12.0,0.0
188,58.0,-273.3469,-13.45444,11.0,15.7038,34.0,2.0,0.0
189,59.0,-66.43729,-7.03204,95.0,50.00642,102.0,3.0,0.0
190,60.0,-82.35258,-12.98656,15.0,13.8563,30.0,7.0,0.0
191,61.0,-83.83059,-14.79988,1.0,2.771259,6.0,5.0,0.0
192,62.0,-106.6332,-12.76512,23.0,23.09383,50.0,3.0,0.0
193,63.0,-83.83059,-15.59988,1.0,2.771259,6.0,2.0,0.0
194,64.0,-86.60185,-15.59988,1.0,2.771259,6.0,2.0,0.0
195,65.0,-119.3085,-12.7499,24.0,27.71259,60.0,4.0,0.0
196,66.0,-122.6282,-15.59988,1.0,2.771259,6.0,3.0,0.0
197,67.0,-18.45075,-9.249049,57.0,46.18765,100.0,3.0,0.0
198,68.0,-27.32419,-13.39989,66.0,35.10262,76.0,5.0,0.0
199,69.0,-61.34633,-6.656684,169.0,62.01521,131.0,5.0,0.0
200,70.0,-121.9354,-15.99987,1.0,2.771259,6.0,5.0,0.0
201,71.0,-231.4361,-6.462549,471.0,78.18089,143.0,5.0,0.0
202,72.0,-241.7885,-7.80601,121.0,58.78208,121.0,4.0,0.0
203,73.0,-112.9288,-17.19986,1.0,2.771259,6.0,3.0,0.0
204,74.0,-135.4532,-12.06018,219.0,105.3078,228.0,11.0,0.0
205,75.0,-121.9354,-16.79987,1.0,2.771259,6.0,4.0,0.0
206,76.0,-238.6747,-16.59987,2.0,4.618765,10.0,2.0,0.0
207,77.0,-245.7623,-8.38646,134.0,59.70583,123.0,3.0,0.0
208,78.0,-265.0511,-8.619553,493.0,83.26153,168.0,7.0,0.0
209,79.0,-121.9354,-17.59986,1.0,2.771259,6.0,4.0,0.0
210,80.0,-149.9102,-11.92182,251.0,128.4017,278.0,9.0,0.0
211,81.0,-153.1121,-17.99986,1.0,2.771259,6.0,1.0,0.0
212,82.0,-206.8504,-13.93032,69.0,46.18765,100.0,5.0,0.0
213,83.0,-0.1693547,-18.23985,3.0,6.680629,12.0,2.0,0.0
214,86.0,-117.1265,-17.52927,34.0,26.78884,58.0,7.0,0.0
215,87.0,-250.6504,-9.912081,224.0,66.63398,138.0,6.0,0.0
