# hist edge err
5.634893079849999822e+02 3.383855153428233400e-04 1.562838148550490303e+02
3.461574286909332159e+02 7.626985859023443495e-04 8.159008839515254863e+01
3.970930231827388752e+02 1.145047569938281197e-03 7.132001236146095380e+01
1.877079451374344217e+02 1.719072201858574652e-03 4.001946836894063608e+01
7.956414900789678768e+01 2.580861540418076874e-03 2.126441327555568606e+01
3.028368953146495457e+01 3.874675120456132216e-03 1.070690111352346463e+01
2.017150010876738975e+01 5.817091329374357578e-03 7.131702256807300522e+00
2.351287079391952162e+01 8.733261623828437667e-03 6.284079049309303500e+00
5.593414936212623090e+00 1.311133937421564422e-02 2.501451204746814927e+00
1.490275085233139230e+00 1.968419447286613375e-02 1.053783618601712879e+00
