# ezz df
1.099096385406122048e-02 0.000000000000000000e+00
2.098274917593505665e-02 2.279616315484159106e+00
3.097453449780889281e-02 2.166809342539558259e+00
4.096631981968272551e-02 0.000000000000000000e+00
5.095810514155656168e-02 2.237267637228051775e+00
6.094989046343039785e-02 2.301446539740207520e+00
7.094167578530423401e-02 2.190723039955319695e+00
8.093346110717807018e-02 2.167536076762944131e+00
9.092524642905190635e-02 2.193824739341340369e+00
1.009170317509257425e-01 2.166693905381658070e+00
1.109088170727995787e-01 2.252468231088105899e+00
1.209006023946734149e-01 2.212272746617177432e+00
1.308923877165472649e-01 0.000000000000000000e+00
1.408841730384211011e-01 2.179006990575494740e+00
1.508759583602949372e-01 2.170240457854416327e+00
1.608677436821687734e-01 2.216202022140413952e+00
1.708595290040426096e-01 2.248043168307912065e+00
1.808513143259164457e-01 2.205719192059959255e+00
1.908430996477902819e-01 2.239597066336830533e+00
2.008348849696641181e-01 2.234492292858987206e+00
2.108266702915379542e-01 2.173097703799506952e+00
2.208184556134117904e-01 2.164991000287239231e+00
2.308102409352856266e-01 2.231415016247649596e+00
2.408020262571594627e-01 2.177889971069157493e+00
2.507938115790332989e-01 2.207694214529440924e+00
2.607855969009071351e-01 2.177611423135915381e+00
2.707773822227809712e-01 2.249407237609422072e+00
2.807691675446548074e-01 2.195112199052722701e+00
2.907609528665286436e-01 0.000000000000000000e+00
3.007527381884024797e-01 2.211659172939215434e+00
3.107445235102763159e-01 2.239337251893239067e+00
3.207363088321501521e-01 2.113494287938688654e+00
3.307280941540239882e-01 2.182338494763554682e+00
3.407198794758978244e-01 2.178398618624777683e+00
3.507116647977716606e-01 2.239219968515543613e+00
3.607034501196454968e-01 2.256454198163550640e+00
3.706952354415193329e-01 2.201099458258496622e+00
3.806870207633931691e-01 2.183301393944016677e+00
3.906788060852670053e-01 2.160190295752812961e+00
4.006705914071408414e-01 2.124789014461454073e+00
4.106623767290146776e-01 2.225556623583451632e+00
4.206541620508885138e-01 2.209770090158830413e+00
4.306459473727623499e-01 2.236997623802269075e+00
4.406377326946361861e-01 2.195512771493153270e+00
4.506295180165100223e-01 2.168650544230620092e+00
4.606213033383838584e-01 2.241219330706934354e+00
4.706130886602576946e-01 0.000000000000000000e+00
4.806048739821315308e-01 0.000000000000000000e+00
4.905966593040053669e-01 0.000000000000000000e+00
5.005884446258791476e-01 2.136378695338657874e+00
5.105802299477529838e-01 2.133455326515743877e+00
5.205720152696268199e-01 2.239552098073577024e+00
5.305638005915006561e-01 2.219690729163125820e+00
5.405555859133744923e-01 0.000000000000000000e+00
5.505473712352483284e-01 2.211763925816927490e+00
5.605391565571221646e-01 0.000000000000000000e+00
5.705309418789960008e-01 2.125150406500633249e+00
5.805227272008698369e-01 2.142296766033846112e+00
5.905145125227436731e-01 2.221476513675311626e+00
6.005062978446175093e-01 2.183935803648905605e+00
6.104980831664913454e-01 2.231248790011062244e+00
6.204898684883651816e-01 2.107661659091549122e+00
6.304816538102390178e-01 2.281179940333048606e+00
6.404734391321128539e-01 2.198126155645415913e+00
6.504652244539866901e-01 2.221766169492017884e+00
6.604570097758605263e-01 2.245953108243521346e+00
6.704487950977343624e-01 2.268990041243329703e+00
6.804405804196081986e-01 2.228537897459285766e+00
6.904323657414820348e-01 2.139263008807350097e+00
7.004241510633558709e-01 2.232305386091376853e+00
7.104159363852297071e-01 2.125005218910477112e+00
7.204077217071035433e-01 2.152418379851694485e+00
7.303995070289773794e-01 2.170576842072015289e+00
7.403912923508512156e-01 2.130230768376292438e+00
7.503830776727250518e-01 2.226471891025002758e+00
7.603748629945988879e-01 2.188944017289723210e+00
7.703666483164727241e-01 2.225930894786397385e+00
7.803584336383465603e-01 0.000000000000000000e+00
7.903502189602203964e-01 2.165929401110193719e+00
8.003420042820942326e-01 2.195980341048295426e+00
8.103337896039680688e-01 2.092863042983141408e+00
8.203255749258419049e-01 2.137413792422414360e+00
8.303173602477157411e-01 2.202823677553740644e+00
8.403091455695895773e-01 2.232478734380669128e+00
8.503009308914634135e-01 2.191336565540290326e+00
8.602927162133372496e-01 2.112673890430647017e+00
8.702845015352110858e-01 2.159489820190594767e+00
8.802762868570849220e-01 2.180703971077695424e+00
8.902680721789587581e-01 2.138673934305732161e+00
9.002598575008325943e-01 2.199911949447332482e+00
9.102516428227064305e-01 2.192019315009145597e+00
9.202434281445802666e-01 2.186668904576728245e+00
9.302352134664541028e-01 2.158571090190419817e+00
9.402269987883279390e-01 2.172693861368619306e+00
9.502187841102017751e-01 2.152170852237002663e+00
9.602105694320756113e-01 0.000000000000000000e+00
9.702023547539494475e-01 2.149382369517697011e+00
9.801941400758232836e-01 2.191648102852620017e+00
9.901859253976971198e-01 2.149681988076961758e+00
1.000177710719571067e+00 2.142833614409803022e+00
1.010169496041444903e+00 2.213248045798326569e+00
1.020161281363318739e+00 2.181913074459529867e+00
1.030153066685192575e+00 2.205283648986283040e+00
1.040144852007066412e+00 2.168424121031899077e+00
1.050136637328940248e+00 0.000000000000000000e+00
