# hist edge err
6.579652033817891379e+02 7.626985859023451084e-05 3.289826016908945689e+02
5.108575293620285720e+02 1.719072201858574543e-04 1.930859968681149326e+02
2.916637268214005871e+02 2.580861540418076657e-04 1.190712178651559583e+02
6.475757509873006939e+02 3.874675120456132216e-04 1.448023399788080781e+02
5.391753173727133799e+02 5.817091329374358228e-04 1.078350634745426788e+02
3.591363912817897130e+02 8.733261623828437233e-04 7.182727825635794261e+01
2.392152299763888266e+02 1.311133937421564335e-03 4.784304599527776247e+01
1.593375877293294138e+02 1.968419447286613461e-03 3.186751754586588348e+01
7.216997625450979115e+01 2.955209235202887856e-03 1.750379029974484268e+01
1.413862113654817065e+01 4.436687330978615965e-03 6.322983593887409270e+00
