# hist edge err
1.630243861458217179e+04 4.961947603002898096e-08 3.137405774192121953e+03
1.860945256362660075e+04 7.405684692262442721e-08 2.743814088952871316e+03
1.490820692014804445e+04 1.105295141126022125e-07 2.010222211027473122e+03
1.634527337009091389e+04 1.649648074098020671e-07 1.722943094252787205e+03
4.818721440532171982e+04 2.462092401494625386e-07 2.421498634467588545e+03
4.092863955487674684e+04 3.674661940736687901e-07 1.826734582441383054e+03
9.057223292595321254e+04 5.484416576121015119e-07 2.224348399077437989e+03
1.256891519301435037e+05 8.185467307069021234e-07 2.144853581916996518e+03
1.745590803746078163e+05 1.221677348996793117e-06 2.069014114816394340e+03
1.997222183982579154e+05 1.823348000868438558e-06 1.811544053289102521e+03
1.296561285485175613e+05 2.721338768375308565e-06 1.194746349347458136e+03
8.290352605727323680e+04 4.061585988376979418e-06 7.820043461942944987e+02
7.000325041164168215e+04 6.061898993497572126e-06 5.882003068461872317e+02
1.683214074460295160e+04 9.047357242349294033e-06 2.360909278937765805e+02
5.990595071820123962e+01 1.350314037869872095e-05 1.152890559107131274e+01
1.992095293603458162e+00 3.007882518043095954e-05 1.408624090876811508e+00
