# w mse
3.000000000000000000e+00 5.608129179495664751e-03
5.000000000000000000e+00 3.413332811034676308e-03
9.000000000000000000e+00 4.743863704417363054e-03
1.700000000000000000e+01 9.447851361441588630e-03
3.300000000000000000e+01 2.309050149452160014e-02
6.500000000000000000e+01 5.848199848922776972e-02
1.290000000000000000e+02 1.418267020123464839e-01
2.570000000000000000e+02 3.355929598951050696e-01
5.130000000000000000e+02 7.862031571130939644e-01
1.025000000000000000e+03 1.773749640898709901e+00
2.049000000000000000e+03 3.733818758728441267e+00
4.097000000000000000e+03 6.911192490007262990e+00
8.193000000000000000e+03 7.466877917597955161e+00
1.638500000000000000e+04 7.378439610563217954e+00
3.276900000000000000e+04 8.677284680553157159e+00
