# hist bin_edges error
5.017134631965042280e-01 5.080218046913020924e-01 3.265876469898527229e-02
9.359973593695511962e-01 7.626985859023445169e-01 3.640607787752987018e-02
2.433449184804644949e-01 1.145047569938281828e+00 1.514999288129695830e-02
1.225086062175707730e-01 1.719072201858574678e+00 8.773023511024217319e-03
4.686832383356340226e-02 2.580861540418075251e+00 4.428640329644648564e-03
2.202002980008519600e-02 3.874675120456132049e+00 2.477446910610634542e-03
1.039700492882868720e-02 5.817091329374361131e+00 1.389358224724176159e-03
3.462642585785658846e-03 8.733261623828436626e+00 6.543779400778921987e-04
5.436544934211640957e-03 1.311133937421564255e+01 6.691924217282492048e-04
2.304399373809337161e-03 1.968419447286613178e+01 3.555765430293275848e-04
2.302387503237124638e-03 2.955209235202887896e+01 2.900735597746834332e-04
1.241473511600098972e-03 4.436687330978615762e+01 1.738410633141934788e-04
