# w mse
3.000000000000000000e+00 1.276275278257485955e-02
5.000000000000000000e+00 2.833406851899981926e-02
9.000000000000000000e+00 7.035897077837947877e-02
1.700000000000000000e+01 1.740773315245259245e-01
3.300000000000000000e+01 4.039607301004544126e-01
6.500000000000000000e+01 8.831119822165669486e-01
1.290000000000000000e+02 1.899452635997759931e+00
2.570000000000000000e+02 3.959005373308400522e+00
5.130000000000000000e+02 7.870322475049155386e+00
1.025000000000000000e+03 1.471336534539189778e+01
2.049000000000000000e+03 2.394601216569518343e+01
4.097000000000000000e+03 2.826483827738547561e+01
8.193000000000000000e+03 2.827756063984408996e+01
