# prediction	actual
1.687250013081781796e+00 1.472294997386764726e+00
4.497636436083239708e+00 4.409172664851952028e+00
3.945862532313947568e+00 3.793041843959469084e+00
3.875128774943058296e+00 3.465034659857385790e+00
4.019395439589362518e+00 3.897242476480770712e+00
3.698250319636789740e+00 3.609648766986642165e+00
4.454354182466694567e+00 4.221373640165193564e+00
5.438311191431624891e+00 5.694226540582359775e+00
4.429401930382756092e+00 4.191431755940801196e+00
3.951827087869170807e+00 3.738844611520995898e+00
4.483653821800579919e+00 4.296230603136693027e+00
4.227820390220137448e+00 4.006021756661515276e+00
3.980712510484971212e+00 4.008120527954134538e+00
3.850342053291425870e+00 3.699637104975054047e+00
3.718760942221278842e+00 3.532636517764944362e+00
2.033641073116045028e+00 2.027716242157711513e+00
4.353436090466288988e+00 4.088523679559322055e+00
4.709621512867838256e+00 4.939077599973249022e+00
3.614976814393902949e+00 3.105845807792587010e+00
4.523256605491593696e+00 4.249984191473645367e+00
3.989817187190229042e+00 3.655755003948579329e+00
4.392769408583547808e+00 4.358704447887578048e+00
4.186741876346504299e+00 3.917940007122993062e+00
4.200659963818848652e+00 3.968800415778958701e+00
4.029042982381258575e+00 3.803167256938599472e+00
3.086468543019788235e+00 2.810038854651471407e+00
3.854138950287320675e+00 3.640035962891302823e+00
5.828825654651770272e+00 5.109310269224275558e+00
3.931999042751537221e+00 3.851983199956192649e+00
3.981079412812662088e+00 4.347162145706687575e+00
3.801504485731996397e+00 3.639292253563392698e+00
3.821498908242721981e+00 3.626867043978168059e+00
3.590484939381491714e+00 3.067333863696164897e+00
3.669510491092659699e+00 3.430931850127194593e+00
3.376842058176000361e+00 2.895737991565704661e+00
3.982443712343961550e+00 3.748471079106184600e+00
3.022985991794606697e+00 1.027991294971161818e+00
4.144798666929633058e+00 3.888610708310132225e+00
3.569252832340406911e+00 3.209983758284795652e+00
3.697323352450761380e+00 3.299482816511762895e+00
4.361050069846730715e+00 4.478251998837784242e+00
3.745539708247375810e+00 3.568087893638775210e+00
4.114237614792954467e+00 3.824965999584478915e+00
4.062205873428102798e+00 3.845827599907199801e+00
3.722323881837562798e+00 3.565148713304572059e+00
3.674210403714851747e+00 3.412733221941545825e+00
3.424311901545303627e+00 3.157253867479946408e+00
3.950188323624360454e+00 3.830488355188061522e+00
4.002017562414799556e+00 3.759523490668829293e+00
3.832522317662933276e+00 3.751232223724805692e+00
3.585076246503501096e+00 3.064859583397131715e+00
3.763860596927072866e+00 3.379312468582071460e+00
3.589777042913923744e+00 3.425561733358235550e+00
4.146164359082655793e+00 3.878775097980424302e+00
3.777943547554213133e+00 3.626602714992221088e+00
3.904850057936004148e+00 3.681584811412820457e+00
3.949756077837188073e+00 3.826076223394465625e+00
4.691626467008867429e+00 4.396802880889693732e+00
3.903323767420976864e+00 3.708215407010647446e+00
3.475964855652555308e+00 3.157818085400754260e+00
3.632865411313922266e+00 3.196550113047306851e+00
3.501140553722024595e+00 2.922883697576321715e+00
3.554785585388882119e+00 3.347585805158487915e+00
4.143483426293162353e+00 4.011304530280654035e+00
3.580825996399391364e+00 3.479444415799275436e+00
4.097699452605435333e+00 3.792077709909372984e+00
3.466221739735200202e+00 3.036126332405505224e+00
4.299943164482796121e+00 3.933735083149874079e+00
3.645940969287477351e+00 3.418290529640905628e+00
4.126047892324798738e+00 4.122042874818707681e+00
3.863770104833246677e+00 3.742418739435048991e+00
3.126213566816363532e+00 2.677660549830692016e+00
4.005420259772448865e+00 3.877862876881004173e+00
4.117928093500275999e+00 3.884583106374703831e+00
3.860292581043013982e+00 3.698429642049224420e+00
3.838621439199714214e+00 3.669672026242521312e+00
1.184056766988065418e-01 4.283169610402166871e-02
4.271057200352691652e+00 3.824010839680147988e+00
1.558964587429534809e+00 1.555650891570467875e+00
3.417702973310903225e+00 3.238799383589287650e+00
4.252225449514783762e+00 3.967354757463628090e+00
3.813449303625046305e+00 3.681409915708074188e+00
3.703967657567716287e+00 3.423459119187918898e+00
4.241625849336017495e+00 4.008727292763343719e+00
4.109986573931232456e+00 3.959362422622814570e+00
7.285666529682672810e+00 7.276401745032748281e+00
4.108096536499923346e+00 4.065971089778400049e+00
3.843179917994184791e+00 3.676891574960233111e+00
3.762354987617836599e+00 3.565937302788890317e+00
4.351231596059377260e+00 3.941652964615919963e+00
3.673777007382401649e+00 3.497202946609506924e+00
