# train_sizes	mse_test	err_test	mse_training	err_training
1.000000000000000056e-01 6.587024575400111644e+03 2.444301739096340498e+03 2.173729046380636423e-02 6.341950454464661061e-03
2.000000000000000111e-01 4.115339936040605608e+03 1.577353650204510359e+03 1.058434621649419816e+00 1.859515297333334816e-01
3.000000000000000444e-01 3.948533532652789290e+03 1.470316349872617366e+03 1.760308392545427703e+00 2.019339553154785860e-01
4.000000000000000222e-01 4.266534980342195013e+03 1.679325177742534834e+03 2.832232829853668310e+00 2.043576508749282428e-01
5.000000000000000000e-01 3.884578840047294307e+03 1.588110935146203474e+03 5.581138010541594419e+00 1.443705183308788831e+00
5.999999999999999778e-01 8.332739954422497249e+03 2.732064849711885927e+03 2.519190064324361700e+01 1.241055383164608017e+01
7.000000000000000666e-01 4.056676921523359852e+03 1.447688268375647795e+03 1.766426819533106496e+01 7.885426206313438158e+00
8.000000000000000444e-01 5.450223202683934687e+03 1.634284907732954480e+03 1.036937190739378245e+01 2.046291360605711596e+00
9.000000000000000222e-01 3.953361152048993517e+03 1.651327222988616995e+03 2.227353152796300151e+01 3.821944740652083894e+00
1.000000000000000000e+00 5.679709069779938545e+03 1.182259175201375683e+03 3.641940442166177405e+01 2.026062657343611306e+01
