# w mse
3.000000000000000000e+00 5.565996204385510390e-03
5.000000000000000000e+00 3.885706408990555021e-03
9.000000000000000000e+00 6.559219096491869863e-03
1.700000000000000000e+01 1.535686073722842410e-02
3.300000000000000000e+01 4.122080311526026691e-02
6.500000000000000000e+01 1.089608447986411960e-01
1.290000000000000000e+02 2.660365697856235667e-01
2.570000000000000000e+02 5.947510392912662702e-01
5.130000000000000000e+02 1.226144652095327414e+00
1.025000000000000000e+03 2.477958404734164510e+00
2.049000000000000000e+03 4.660922491011095126e+00
4.097000000000000000e+03 6.313757037885795675e+00
8.193000000000000000e+03 6.388067130112759173e+00
1.638500000000000000e+04 7.647977548373846801e+00
