# theta phi size
-4.389496895855716474e+01 1.025909860152283244e+02 2.000000000000000000e+00
1.361050310414428566e+02 7.740901398477170403e+01 2.000000000000000000e+00
1.457199007520957537e+02 7.644874248284348539e+01 2.000000000000000000e+00
-3.428009924790424634e+01 1.035512575171565288e+02 2.000000000000000000e+00
1.079449367227154681e+02 1.669424962155646028e+02 2.000000000000000000e+00
-7.205506327728453186e+01 1.305750378443539361e+01 2.000000000000000000e+00
9.000000000000000000e+01 8.298176909368172005e+01 4.000000000000000000e+00
4.838515617783698985e+01 1.023116672322724696e+02 2.000000000000000000e+00
-1.666096343683289760e+01 1.124539960281908435e+02 5.000000000000000000e+00
-9.000000000000000000e+01 9.701823090631830837e+01 3.000000000000000000e+00
-1.316148438221630386e+02 7.768833276772754459e+01 2.000000000000000000e+00
1.633390365631670988e+02 6.754600397180915650e+01 3.000000000000000000e+00
1.341658721712338433e+02 1.204072883651561625e+02 3.000000000000000000e+00
-4.394634098892129082e+00 1.349066443228171863e+02 2.100000000000000000e+01
-1.064154378546925415e+02 2.867590495632062897e+01 2.000000000000000000e+00
1.444305000232938312e+02 5.476281907931822701e+01 2.000000000000000000e+00
-4.117547941961397839e+01 1.705384170961893915e+02 2.000000000000000000e+00
-4.583412782876614955e+01 5.959271163484385880e+01 2.000000000000000000e+00
1.756053659011078594e+02 4.509335567718282078e+01 3.000000000000000000e+00
7.358456214530747275e+01 1.513240950436793639e+02 3.000000000000000000e+00
-3.556949997670617591e+01 1.252371809206817943e+02 2.000000000000000000e+00
1.388245205803860358e+02 9.461582903810631606e+00 2.100000000000000000e+01
9.309257985181686479e+01 8.647164703646258488e+01 3.000000000000000000e+00
3.710966944744176033e+01 1.599898688447509016e+02 2.000000000000000000e+00
1.366523626708410006e+02 1.253000822811692956e+02 7.000000000000000000e+00
-1.781684637095741550e+02 1.359509477147188363e+02 2.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00
7.251661794191120691e+01 1.750060285238018309e+02 5.000000000000000000e+00
1.733823298437284564e+02 4.775680327466812969e+01 7.000000000000000000e+00
1.624939907108393697e+02 9.176117597720175212e+00 2.000000000000000000e+00
-5.989341428066524742e+01 1.590718903042882992e+01 2.000000000000000000e+00
1.091064795100813143e+02 4.351722438475578514e+01 2.000000000000000000e+00
1.366613673997238152e+02 1.252899544801483813e+02 3.000000000000000000e+00
1.138982073981009364e+02 7.318920686163380651e+01 3.000000000000000000e+00
-9.959617491766589126e+01 7.590815752256465032e+01 4.000000000000000000e+00
-1.067445272196500525e+02 4.763246947048801161e+01 3.000000000000000000e+00
8.976867765453957304e+01 1.712771865024924978e+02 2.000000000000000000e+00
8.284384455148858351e+00 9.362214061827842215e+01 3.000000000000000000e+00
-1.293587143022126327e+02 3.499059414958826864e+01 2.000000000000000000e+00
4.353643848266148808e+01 8.724786619577007230e+01 2.000000000000000000e+00
-1.310724363925389184e+02 9.000000000000000000e+01 9.000000000000000000e+00
-3.729133707044337598e+01 5.073589342448964601e+01 2.000000000000000000e+00
1.342440810730035423e+02 8.792176578282132482e+01 4.000000000000000000e+00
1.377497301974600816e+02 5.533196261612886957e+01 3.000000000000000000e+00
9.309027223814712215e+01 8.647263095325355664e+01 2.400000000000000000e+01
2.377189080115435971e+01 7.835201209146529777e+01 2.000000000000000000e+00
3.708479726400391030e+01 1.600218354519188324e+02 3.000000000000000000e+00
-1.772707958366436856e+02 9.453422257187477840e+01 2.000000000000000000e+00
5.523233604811229469e+01 1.045693067405361347e+02 2.000000000000000000e+00
-8.690742014818313521e+01 9.352835296353741512e+01 3.000000000000000000e+00
-1.428903305525582539e+02 2.001013115524909480e+01 3.000000000000000000e+00
-4.334763732915901358e+01 5.469991771883072573e+01 2.000000000000000000e+00
1.831536290425846536e+00 4.404905228528114947e+01 2.000000000000000000e+00
0.000000000000000000e+00 1.800000000000000000e+02 4.000000000000000000e+00
-1.074833820580888073e+02 4.993971476198163728e+00 2.000000000000000000e+00
-6.617670156271572068e+00 1.322431967253318703e+02 5.000000000000000000e+00
-1.750600928916063381e+01 1.708238824022798212e+02 2.000000000000000000e+00
1.201065857193347739e+02 1.640928109695711896e+02 2.000000000000000000e+00
-7.089352048991867150e+01 1.364827756152442078e+02 2.000000000000000000e+00
-4.333863260027618480e+01 5.471004551985162578e+01 9.000000000000000000e+00
-6.610179260189907779e+01 1.068107931383661935e+02 2.000000000000000000e+00
8.040382508233412295e+01 1.040918424774353355e+02 2.000000000000000000e+00
7.325547278034996168e+01 1.323675305295119813e+02 3.000000000000000000e+00
-9.023132234546042696e+01 8.722813497507504010e+00 2.400000000000000000e+01
-1.717156155448511470e+02 8.637785938172157785e+01 1.000000000000000000e+01
5.064128569778738154e+01 1.450094058504117527e+02 3.000000000000000000e+00
-1.364635615173385474e+02 9.275213380422992770e+01 7.000000000000000000e+00
4.892756360746108157e+01 9.000000000000000000e+01 2.000000000000000000e+00
1.427086629295566240e+02 1.292641065755103682e+02 1.100000000000000000e+01
-4.575591892699646479e+01 9.207823421717870360e+01 2.000000000000000000e+00
-4.225026980253993969e+01 1.246680373838711091e+02 7.000000000000000000e+00
-8.690972776185289206e+01 9.352736904674647178e+01 1.300000000000000000e+01
-1.562281091988456296e+02 1.016479879085347022e+02 2.000000000000000000e+00
-1.429152027359961039e+02 1.997816454808118181e+01 4.000000000000000000e+00
2.729204163356318436e+00 8.546577742812522160e+01 2.000000000000000000e+00
-1.247676639518876982e+02 7.543069325946387949e+01 2.000000000000000000e+00
6.897928446636090882e+01 1.721258184944027789e+02 2.000000000000000000e+00
-8.693508949588481016e+01 1.302400055951521836e+02 3.000000000000000000e+00
9.613917597510399560e+01 2.889443989618346009e+01 8.000000000000000000e+00
-1.148382469293755435e+02 1.791988720700268232e+02 2.000000000000000000e+00
-1.061885750066768281e+02 7.569345186866490849e+01 2.000000000000000000e+00
-5.040409134076568876e+01 6.075350180810484346e+01 4.000000000000000000e+00
1.379020542873384727e+02 1.247207773858419984e+02 2.000000000000000000e+00
1.000123637288455711e+02 7.894293493449223931e+00 3.000000000000000000e+00
1.297729932399636823e+02 1.215428356688726126e+02 2.000000000000000000e+00
-1.328284441108790759e+02 1.349848523006174901e+02 7.000000000000000000e+00
1.017273009845986138e+02 1.759819261152750869e+02 3.000000000000000000e+00
-1.382196821940747498e+02 6.121299651686630483e+01 5.000000000000000000e+00
-5.048605440205516715e+01 6.079003783878252420e+01 7.000000000000000000e+00
1.782605962020572861e+02 1.009273913072681808e+02 4.000000000000000000e+00
2.398116905869210669e+01 1.051565825011475255e+02 2.000000000000000000e+00
-1.383883944614212851e+02 2.857197918218211186e+01 8.000000000000000000e+00
6.111148665635447230e+01 1.186185872276798250e+02 2.000000000000000000e+00
3.424287764040643722e+00 5.459850480947157791e+01 3.000000000000000000e+00
-4.079881186924333747e+01 8.593757709895294283e+01 2.000000000000000000e+00
-1.761281157569278548e+02 8.144724041259640046e+01 7.000000000000000000e+00
-6.393925136449168889e+01 7.028372998411806805e+01 1.300000000000000000e+01
9.615090185854006677e+01 2.888718428450561504e+01 4.000000000000000000e+00
-7.712654273657751958e+01 1.776760616833542201e+02 7.000000000000000000e+00
4.151560588177119371e+01 5.898726090134293543e+01 8.000000000000000000e+00
1.392303408609559199e+02 1.273400844143752266e+02 2.000000000000000000e+00
1.379107882344314646e+02 1.247242898777098077e+02 5.000000000000000000e+00
5.012791614032190779e+01 1.345996459182706531e+02 6.000000000000000000e+00
-1.356190310688021157e+02 5.608232265762184454e+01 3.000000000000000000e+00
9.822597272323112350e+01 7.337988126702246916e+01 2.000000000000000000e+00
1.732144070263610445e+02 1.024884371254248805e+02 8.000000000000000000e+00
4.204194129859071438e+01 1.007274335605547861e+02 1.200000000000000000e+01
5.238442932063517077e+00 1.732320343562703897e+02 2.000000000000000000e+00
-1.334176036540788743e+02 3.438640872365058954e+01 5.000000000000000000e+00
-1.242546160753888103e+02 4.975034731968521129e+01 4.000000000000000000e+00
1.162593538951571759e+02 1.156253998204666971e+02 1.200000000000000000e+01
4.671866193136157364e+01 6.387854108403185194e+01 3.000000000000000000e+00
3.694631633459050590e+01 9.512374971476150165e+01 5.000000000000000000e+00
1.772534222176223295e+02 5.121619586059635054e+01 2.000000000000000000e+00
4.959804555984198515e+01 1.354052730651188767e+02 2.000000000000000000e+00
-8.378345322475044554e+01 8.587684400544686980e+01 3.000000000000000000e+00
-1.272594731994528701e+02 2.827597881584310713e+01 3.000000000000000000e+00
1.579901539049025416e+00 1.300642685506037992e+02 7.000000000000000000e+00
5.072285889710421003e+01 9.792783070490320085e+01 2.000000000000000000e+00
-1.061463304027149803e+02 7.567951217980700562e+01 8.000000000000000000e+00
3.607639256975257780e+01 1.167670895685801895e+02 7.000000000000000000e+00
1.296216928721107138e+02 1.216740364900527851e+02 3.000000000000000000e+00
-1.110207155336391054e+02 7.874181505597214858e+00 2.000000000000000000e+00
9.306491050411520405e+01 4.975999440484783776e+01 5.000000000000000000e+00
-8.386082402489600440e+01 1.511055601038165435e+02 5.000000000000000000e+00
