# w mse
3.000000000000000000e+00 5.381701535957963793e-03
5.000000000000000000e+00 1.450765473431188390e-02
9.000000000000000000e+00 4.407814947919184989e-02
1.700000000000000000e+01 1.299928420100157633e-01
3.300000000000000000e+01 3.580371790066496085e-01
6.500000000000000000e+01 9.243515742900407783e-01
1.290000000000000000e+02 2.218000975364604166e+00
2.570000000000000000e+02 4.787524233256770678e+00
5.130000000000000000e+02 8.772069898530405752e+00
1.025000000000000000e+03 1.400079790381418654e+01
2.049000000000000000e+03 1.753059599588555884e+01
4.097000000000000000e+03 2.580836150963672182e+01
8.193000000000000000e+03 3.348332846272236907e+01
