# theta phi size
4.474636885610203052e+01 9.424739710677869198e+01 2.800000000000000000e+01
-7.525074418467387716e+01 1.000015140325867833e+02 7.000000000000000000e+00
1.109310257539897115e+01 1.123623074809281377e+02 4.000000000000000000e+00
5.933705563490107693e+01 9.141924202296175750e+00 3.000000000000000000e+00
4.188007185786870679e+01 1.333135797399985165e+02 1.700000000000000000e+01
4.474343822236509993e+01 9.424979701243475461e+01 2.800000000000000000e+01
-1.352536311438979624e+02 8.575260289322132223e+01 2.330000000000000000e+02
1.047492558153261371e+02 7.999848596741321671e+01 7.800000000000000000e+01
-1.689068974246010555e+02 6.763769251907187652e+01 1.010000000000000000e+02
-1.206629443650989373e+02 1.708580757977038047e+02 3.300000000000000000e+01
-1.381199281421312719e+02 4.668642026000149770e+01 4.700000000000000000e+01
-1.352565617776349143e+02 8.575020298756523118e+01 8.000000000000000000e+00
-1.343479757315393783e+02 1.242165243536803985e+02 1.380000000000000000e+02
-3.136766174207918567e+01 1.188169875315682020e+02 7.800000000000000000e+01
4.522749147564965000e+01 7.032436000949667232e+01 2.330000000000000000e+02
4.695397834399855697e+01 7.860882095774361744e+01 1.166000000000000000e+03
4.801091469367073472e+01 5.750613137913651940e+01 4.000000000000000000e+01
3.615537060346926523e+01 1.266130848284252295e+02 1.430000000000000000e+02
4.483148084316721338e+01 1.224290099843773447e+02 6.500000000000000000e+01
-3.136772355976609816e+01 1.188174617259278421e+02 2.100000000000000000e+01
-1.343466889816404546e+02 1.242165093468737211e+02 1.010000000000000000e+02
-1.354200554204697369e+02 3.085478322094856907e+01 3.300000000000000000e+01
-1.352701702971998543e+02 5.695092895786638110e+01 1.380000000000000000e+02
1.545905884517270579e+02 5.825838751185417408e+01 9.320000000000000000e+02
4.777760666059820949e+01 5.774568784648921138e+01 1.430000000000000000e+02
-4.350744910515891206e+01 1.195678477338274206e+02 1.010000000000000000e+02
4.522786407119420460e+01 7.033002810688714135e+01 7.500000000000000000e+01
4.695244045120792720e+01 7.860856278570102518e+01 8.300000000000000000e+01
4.483055318341855866e+01 1.224277991346950643e+02 4.400000000000000000e+01
-1.346469511929313967e+02 3.442476440221773260e+01 2.330000000000000000e+02
1.545969796173821464e+02 5.825794166084352810e+01 4.100000000000000000e+01
4.522761259879568740e+01 7.033084637145621798e+01 1.400000000000000000e+01
4.641181439909885853e+01 5.747216366850274483e+01 1.500000000000000000e+01
1.476404728459295086e+02 6.068870978065159960e+01 7.000000000000000000e+00
-1.323489178723383191e+02 1.229295241202488853e+02 8.300000000000000000e+01
-1.343528566379809206e+02 1.242133372325364888e+02 7.000000000000000000e+00
1.422079148668093467e+02 1.205039261320049633e+02 6.000000000000000000e+01
4.246397057931886110e+01 1.144659263415233141e+02 7.000000000000000000e+00
1.456516513312404015e+02 1.219199944118540202e+02 1.010000000000000000e+02
-1.333440246585441571e+02 6.265409890751706001e+01 3.800000000000000000e+01
1.476403006296435194e+02 6.069020924838373787e+01 3.300000000000000000e+01
5.327907951776148820e+01 1.201644446068586660e+02 2.000000000000000000e+00
1.490001823160919514e+02 6.211081604130812650e+01 4.700000000000000000e+01
4.175967017326757968e+01 1.142267751539366856e+02 3.000000000000000000e+00
4.522318211506831176e+01 7.033755890798893518e+01 4.000000000000000000e+00
-3.922108287881180644e+01 5.746942063135702483e+01 2.000000000000000000e+00
4.694339148693509145e+01 7.859922710583661853e+01 7.500000000000000000e+01
1.676996589935230020e+01 5.702711684340362552e+01 8.000000000000000000e+00
4.801936502041113641e+01 5.750355053935897587e+01 1.400000000000000000e+02
-1.301951554282722157e+02 5.781875237217734309e+01 5.000000000000000000e+00
-5.316021438633296725e+01 9.382930821067803961e+00 8.000000000000000000e+00
1.259053648320388241e+01 1.796018951888491983e+02 7.800000000000000000e+01
4.640973029061255062e+01 5.747351089565739102e+01 3.000000000000000000e+00
3.615480169040867509e+01 1.266126129500849231e+02 1.500000000000000000e+01
4.484052099066313701e+01 1.226446013015875565e+02 7.000000000000000000e+00
-1.363494705663171658e+02 9.281031901807327245e+01 8.300000000000000000e+01
6.322216487705560439e+01 4.731238183534632924e+01 1.100000000000000000e+01
