# w mse
3.000000000000000000e+00 5.739965139381864208e-03
5.000000000000000000e+00 1.147066593430541917e-02
9.000000000000000000e+00 3.349384816994582098e-02
1.700000000000000000e+01 1.017012945939073376e-01
3.300000000000000000e+01 2.823286232160008846e-01
6.500000000000000000e+01 6.938491911738512430e-01
1.290000000000000000e+02 1.546288873357210658e+00
2.570000000000000000e+02 3.179075678317874409e+00
5.130000000000000000e+02 6.228345584466905116e+00
1.025000000000000000e+03 1.239080554557605751e+01
2.049000000000000000e+03 2.202222829414184702e+01
4.097000000000000000e+03 2.723290437214984649e+01
8.193000000000000000e+03 3.174504928570282303e+01
