# w mse
3.000000000000000000e+00 4.540955622008307005e-03
5.000000000000000000e+00 5.620528494625905841e-03
9.000000000000000000e+00 1.116014655770700484e-02
1.700000000000000000e+01 2.725485732423179458e-02
3.300000000000000000e+01 7.190201885512612079e-02
6.500000000000000000e+01 1.776336762969855376e-01
1.290000000000000000e+02 4.032045747751144549e-01
2.570000000000000000e+02 8.568674097842645665e-01
5.130000000000000000e+02 1.694652689635115506e+00
1.025000000000000000e+03 2.659897086063394589e+00
2.049000000000000000e+03 3.253802110683299276e+00
4.097000000000000000e+03 4.339532694774970167e+00
8.193000000000000000e+03 6.485755589695141765e+00
