# theta phi
6.127303060529058598e+01 1.194829367866177705e+02
-1.187269693947094282e+02 6.051706321338225081e+01
-1.216923486609163376e+02 6.056411285460356453e+01
-1.467413498751536451e+02 1.213863187471512077e+02
5.753741137945570472e+01 5.791804853589669477e+01
5.830765133908366238e+01 1.194358871453964355e+02
3.325865012484635486e+01 5.861368125284881359e+01
-1.224625886205442953e+02 1.220819514641033123e+02
1.235515291329125773e+02 5.778080334505821014e+01
-3.145025507663700637e+01 5.864385910931729029e+01
-3.526247230469255811e+01 1.207267334754873218e+02
-1.451503128980904194e+02 1.219062906443770231e+02
1.210226614704636745e+02 5.887947494305797846e+01
1.217930229462399581e+02 1.236536773030229881e+02
3.596217620232815193e+01 1.213076381618681552e+02
3.696582884962398197e+01 1.209417586319084990e+02
-3.581387805337775632e+01 1.204240742890979305e+02
5.228679576650561955e+01 1.202302671480401841e+02
5.814007897511116596e+01 5.951710753199504467e+01
-5.751258061179293435e+01 1.190553213201438041e+02
6.203660500076961171e+01 5.756879527636520777e+01
2.847148021592316880e+01 1.225821976258226158e+02
5.375692253421853195e+01 1.174799660407743289e+02
-5.374615803575630935e+01 5.960206845753437221e+01
-5.644847086708742978e+01 1.222191966549417970e+02
1.485497449233629936e+02 1.213561408906827239e+02
1.447375276953074490e+02 5.927326652451267819e+01
3.484968710190958063e+01 5.809370935562299820e+01
-5.897733852953634681e+01 1.211205250569420144e+02
-5.820697705376004905e+01 5.634632269697701190e+01
-1.440378237976718481e+02 5.869236183813184482e+01
-1.430341711503760393e+02 5.905824136809150104e+01
1.441861219466222508e+02 5.957592571090206235e+01
-1.277132042334943947e+02 5.976973285195983721e+01
-1.218599210248888340e+02 1.204828924680049624e+02
1.224874193882070585e+02 6.094467867985618170e+01
-1.179633949992303883e+02 1.224312047236348207e+02
-1.515285197840768490e+02 5.741780237417738419e+01
-1.262430774657814823e+02 6.252003395922567819e+01
1.262538419642437191e+02 1.203979315424656420e+02
1.244782198476206219e+02 5.740626519431494046e+01
1.241953352197228071e+02 6.162288651100310233e+01
-5.870969272217674018e+01 1.235475454857115523e+02
-3.634749811730457481e+01 1.232874427311004553e+02
1.463280497980547352e+02 1.230630750206226622e+02
1.255437505924885642e+02 1.217168952652797458e+02
1.541781233403100941e+02 1.191980862758957471e+02
-4.048225221208261360e+01 5.881245628348828092e+01
1.325859268079207709e+02 1.196396897767361196e+02
2.971108801696921020e+01 5.839109289392206392e+01
-3.488881939272867072e+01 1.215123471796562882e+02
-1.480781038679073163e+02 5.637467152679391091e+01
-1.443303418295333245e+02 1.216778430158115896e+02
-1.464624043385509822e+02 1.215273221663032217e+02
-5.678817048677747437e+01 5.717736748542500891e+01
-5.757636524401183209e+01 5.656980764623632041e+01
-5.966519013511620528e+01 5.492838055843661493e+01
-5.407450744771357876e+01 5.925605060014414960e+01
-4.124915761123022406e+01 5.899777156130417666e+01
-1.149468690735943284e+02 1.188240834493122833e+02
-1.221538217517346112e+02 1.225486221130954760e+02
-1.466935780905560591e+02 5.855862478415463812e+01
-4.056294110093156746e+01 1.200365016359729395e+02
-1.257093740537229394e+02 5.736707423678135598e+01
-1.518110089135749945e+02 1.239435519724334824e+02
-4.348540300340359721e+01 5.627438713939577042e+01
-5.526335614928284912e+01 5.471571507711495030e+01
-5.119331210977187396e+01 1.227611487421051351e+02
-3.459108672706901189e+01 5.993632441196353966e+01
