# w mse
3.000000000000000000e+00 1.681454294549284897e-02
5.000000000000000000e+00 3.258778589507792256e-02
9.000000000000000000e+00 7.345903445458545900e-02
1.700000000000000000e+01 1.636370310398848893e-01
3.300000000000000000e+01 3.569516377054913203e-01
6.500000000000000000e+01 7.951561873227591670e-01
1.290000000000000000e+02 1.774069386715322327e+00
2.570000000000000000e+02 3.711469469924952858e+00
5.130000000000000000e+02 7.149031026743348782e+00
1.025000000000000000e+03 1.325293309178399426e+01
2.049000000000000000e+03 2.230122001151700672e+01
4.097000000000000000e+03 2.717676718243730605e+01
8.193000000000000000e+03 3.163071498921629399e+01
