# w mse
3.000000000000000000e+00 3.504800610904049976e-04
5.000000000000000000e+00 1.350836116177638047e-03
9.000000000000000000e+00 5.003199546167780981e-03
1.700000000000000000e+01 1.761394186050944249e-02
3.300000000000000000e+01 6.170261080964862394e-02
6.500000000000000000e+01 2.229239570342465004e-01
1.290000000000000000e+02 8.036495220544963569e-01
2.570000000000000000e+02 2.812173771799864497e+00
5.130000000000000000e+02 8.612829484442448447e+00
1.025000000000000000e+03 1.785760845690567322e+01
2.049000000000000000e+03 2.574072002887077915e+01
