# w mse
3.000000000000000000e+00 3.494360084946024889e-04
5.000000000000000000e+00 1.344098169877095848e-03
9.000000000000000000e+00 4.979832430695080303e-03
1.700000000000000000e+01 1.756808796516806312e-02
3.300000000000000000e+01 6.161839762287556893e-02
6.500000000000000000e+01 2.239331606172981493e-01
1.290000000000000000e+02 8.086497235043272891e-01
2.570000000000000000e+02 2.827121695995026496e+00
5.130000000000000000e+02 8.708982241534357627e+00
1.025000000000000000e+03 1.852354323260462721e+01
2.049000000000000000e+03 2.647001518889591054e+01
