# size duration
3.650000000000002132e-01 7.597070418241569811e+00
8.250000000000001776e-01 6.712284213084782181e+00
3.999999999999959144e-02 8.144090372874857042e-02
4.499999999999992895e-02 1.608289515168771222e-01
4.999999999999982236e-02 1.387477242656402487e-01
4.000000000000003553e-02 8.545151972866507628e-02
9.999999999999964473e-02 4.053112715308470615e-01
4.999999999999982236e-02 1.383508755119747247e-01
2.499999999999991118e-02 4.163245987496894118e-02
4.999999999999893419e-03 7.884149844285676112e-03
2.499999999999946709e-02 5.472860620525918374e-02
3.000000000000024869e-02 6.115538443052988965e-02
5.999999999999960920e-02 1.615521821428398952e-01
2.000000000000046185e-02 3.661573303102430565e-02
2.999999999999936051e-02 7.441022008933839693e-02
3.500000000000014211e-02 8.166631997222231765e-02
8.000000000000007105e-02 1.819508167050057357e-01
1.499999999999968026e-02 2.657903479207505276e-02
9.999999999999786837e-03 1.594844557997100731e-02
5.499999999999971578e-02 1.008928597057270615e-01
8.000000000000007105e-02 2.936159652020994271e-01
4.499999999999992895e-02 1.016267049026483987e-01
6.500000000000039080e-02 1.726860582079719486e-01
3.000000000000024869e-02 6.185542573821346812e-02
5.499999999999971578e-02 1.605215648189920463e-01
5.499999999999971578e-02 1.788569588150044909e-01
4.499999999999992895e-02 1.348299196896987351e-01
3.000000000000024869e-02 6.163963603703651040e-02
4.999999999999982236e-02 1.538495384446114667e-01
4.499999999999992895e-02 1.212046966176045237e-01
4.000000000000092371e-02 9.751657165205201983e-02
3.999999999999914735e-02 1.318022884192371902e-01
4.000000000000092371e-02 9.514871442000188972e-02
3.500000000000014211e-02 7.768983907355488105e-02
4.000000000000092371e-02 1.153519267237116397e-01
7.000000000000028422e-02 2.403753258014591776e-01
7.499999999999928946e-02 2.842453108072809376e-01
1.999999999999957367e-02 4.443460369105205199e-02
2.999999999999936051e-02 8.207333328200476508e-02
2.999999999999936051e-02 5.997106693716716674e-02
4.999999999999893419e-02 1.592818972702919333e-01
3.500000000000014211e-02 8.963068303019521010e-02
1.999999999999957367e-02 3.468891053009917624e-02
2.499999999999857891e-02 4.715853783486347733e-02
1.500000000000056843e-02 2.566045395883542746e-02
1.500000000000056843e-02 2.772512095473730204e-02
3.500000000000014211e-02 8.222419346410146657e-02
7.000000000000028422e-02 1.816934671944588353e-01
1.500000000000056843e-02 2.591321994867173961e-02
8.000000000000007105e-02 2.548166980942369597e-01
5.499999999999971578e-02 1.704260621152417499e-01
6.500000000000127898e-02 1.701176276016546085e-01
5.000000000000781597e-03 7.778483140930427149e-03
4.499999999999992895e-02 8.848604495105391599e-02
