# w mse
3.000000000000000000e+00 2.840453889589657915e-02
5.000000000000000000e+00 6.868200053833541097e-02
9.000000000000000000e+00 1.611886111243371333e-01
1.700000000000000000e+01 3.588535873168727797e-01
3.300000000000000000e+01 7.719480550115477291e-01
6.500000000000000000e+01 1.581719466238902028e+00
1.290000000000000000e+02 3.169387034872636288e+00
2.570000000000000000e+02 6.233741816973781269e+00
5.130000000000000000e+02 1.088898714539760881e+01
1.025000000000000000e+03 1.593469667563512715e+01
2.049000000000000000e+03 2.377709225934204795e+01
4.097000000000000000e+03 3.082354904124805373e+01
