# w mse
3.000000000000000000e+00 1.586265816475567955e-02
5.000000000000000000e+00 3.494464333558176122e-02
9.000000000000000000e+00 8.173432627123351779e-02
1.700000000000000000e+01 1.806432739525289100e-01
3.300000000000000000e+01 3.840106753154452490e-01
6.500000000000000000e+01 8.022136175978181738e-01
1.290000000000000000e+02 1.648257346155410641e+00
2.570000000000000000e+02 3.319456493142908915e+00
5.130000000000000000e+02 6.285718031149730933e+00
1.025000000000000000e+03 1.143352871258808889e+01
2.049000000000000000e+03 2.193521913325677986e+01
4.097000000000000000e+03 2.953110499362328412e+01
8.193000000000000000e+03 3.196540419419238077e+01
