# hist edge err
2.876842919214120116e+02 2.462092401494625450e-04 1.660946033824541246e+02
1.285025798458567010e+02 3.674661940736688058e-04 9.086504560897104454e+01
2.152478449129873184e+02 5.484416576121014814e-04 9.626176264715438435e+01
5.768803682573486213e+01 8.185467307069029365e-04 4.079160203281639241e+01
2.512384312371633257e+02 1.221677348996791758e-03 6.968100355328661522e+01
1.294880459520453542e+02 1.823348000868440328e-03 4.094771549730095472e+01
1.041113024810126433e+02 2.721338768375308921e-03 3.005434425654760133e+01
2.906521866072449356e+01 4.061585988376979588e-03 1.299836094125507202e+01
3.505363467432480462e+01 6.061898993497571997e-03 1.168454489144160213e+01
3.653469944405577507e+01 9.047357242349292339e-03 9.764309146315508059e+00
1.223946683297703331e+01 1.350314037869872197e-02 4.626083631440079280e+00
2.343049220683798506e+00 2.015337685941732959e-02 1.656785992599369317e+00
