# theta phi
1.425271779125895080e+02 1.150808040216743535e+02
-3.747282208741049914e+01 6.491919597832564648e+01
5.121136521007189657e+01 5.928586909547527029e+01
-1.287886347899280963e+02 1.207141309045247368e+02
-1.384764404426210262e+02 1.066062080721689114e+02
1.579379788370469662e+01 7.564287333813429370e+01
4.152355955737896664e+01 7.339379192783108863e+01
-1.642062021162953158e+02 1.043571266618656921e+02
-3.705512025679621457e-01 9.510705134110905590e+01
-1.381169206258482802e+02 1.089860959794574597e+02
3.178088690159811236e+01 8.117878559436536534e+01
1.796294487974320759e+02 8.489294865889097252e+01
4.188307937415173399e+01 7.101390402054255446e+01
-1.482191130984019196e+02 9.882121440563463466e+01
-8.415323680507453830e-01 8.371814002419377232e+01
-1.392115317259842868e+02 1.109138383651424959e+02
1.791584676319492928e+02 9.628185997580624189e+01
4.078846827401574870e+01 6.908616163485751827e+01
-1.379260398810956758e+02 1.163416964506358084e+02
-1.179809716091863514e+01 8.879052831844933280e+01
4.207396011890433130e+01 6.365830354936422708e+01
1.682019028390813844e+02 9.120947168155066720e+01
-5.703504657496446129e+01 3.309516017359462836e+01
1.229649534250355316e+02 1.469048398264053787e+02
1.054551726537700205e+02 9.536961222969249263e+01
-7.454482734622999374e+01 8.463038777030750737e+01
-3.181074113044748231e+01 8.560759069793465414e+01
1.481892588695525319e+02 9.439240930206536007e+01
-6.526826279328255431e+00 1.115345756091278275e+02
1.734731737206717526e+02 6.846542439087217247e+01
